n,|A|,|B|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
12,3,2,1,36,0,20051,39,2,1,92,0,0,0
12,3,2,5,56,0,8330,27,2,2,105,0,0,0
12,3,2,1,35,0,1048608,49,2,3,90,0,0,1
12,3,2,6,57,0,9856,26,2,12,109,0,0,0
12,3,2,3,52,0,538,20,2,3,110,0,0,0
12,3,2,5,51,0,34788,34,2,1,109,0,0,0
12,3,2,3,49,0,366960,45,2,5,103,0,0,0
12,3,2,1,52,0,91476,38,2,1,108,0,0,0
12,3,2,3,46,0,121500,44,2,4,113,0,0,0
12,3,2,46,57,0,6804,26,2,3,89,0,0,0
12,3,2,1,44,0,528640,47,2,1,99,0,0,0
12,3,2,3,57,0,94464,41,2,12,115,0,0,0
12,3,2,6,55,0,2751,25,2,1,114,0,0,0
12,3,2,2,53,0,4635,27,2,2,91,0,0,0
12,3,2,3,46,1,14460,33,2,3,97,0,0,0
12,3,2,15,57,0,3032,22,2,1,90,0,0,0
12,3,2,3,56,0,87336,35,2,3,98,0,0,0
12,3,2,11,66,0,171528,39,2,5,119,0,0,3
12,3,2,2,46,0,5172,23,2,1,86,0,0,0
12,3,2,3,58,0,9668,26,2,9,113,0,0,0
12,3,2,1,45,0,561,16,2,1,78,0,0,0
12,3,2,2,54,0,6470,25,2,1,93,0,0,1
12,3,2,4,48,0,3040,23,2,3,95,0,0,0
12,3,2,1,60,0,38146,33,2,1,112,0,0,0
12,3,2,6,54,0,4536,24,2,5,89,0,0,1
12,3,2,3,58,0,28224,31,2,2,106,0,0,0
12,3,2,2,57,0,13956,31,2,3,111,0,0,0
12,3,2,13,59,0,2154,28,2,1,106,0,0,0
12,3,2,5,65,0,29808,32,2,3,104,0,0,2
12,3,2,9,37,0,49788,39,2,4,97,0,0,0
12,3,2,1,55,0,19632,37,2,3,115,0,0,0
12,3,2,3,29,0,5175,27,2,9,75,0,0,0
12,3,2,9,59,0,7320,25,2,6,119,0,0,0
12,3,2,17,43,0,15960,34,2,2,116,0,0,0
12,3,2,1,33,0,97452,39,2,5,103,0,0,0
12,3,2,1,41,0,5780,28,2,2,86,0,0,0
12,3,2,1,51,0,139106,41,2,1,110,0,0,0
12,3,2,1,51,0,2274,21,2,1,90,0,0,0
12,3,2,1,36,0,33630,35,2,3,98,0,0,0
12,3,2,3,56,0,33312,36,2,7,116,0,0,0
12,3,2,9,42,0,82720,36,2,1,89,0,0,0
12,3,2,3,39,0,45888,36,2,5,84,0,0,0
12,3,2,3,43,0,5044,25,2,1,96,0,0,0
12,3,2,1,50,0,28308,35,2,3,110,0,0,0
12,3,2,1,44,0,169818,43,2,1,97,0,0,0
12,3,2,3,62,0,4416,20,2,1,107,0,0,0
12,3,2,5,56,0,22148,35,2,1,116,0,0,0
12,3,2,17,53,0,12762,29,2,1,108,0,0,0
12,3,2,1,55,0,8832,28,2,17,99,0,0,2
12,3,2,1,52,0,15208,30,2,2,118,0,0,0
12,3,2,3,61,0,8034,27,2,1,114,0,0,0
12,3,2,3,63,0,5850,26,2,3,114,0,0,0
12,3,2,1,51,0,75824,37,2,3,98,0,0,0
12,3,2,1,50,0,7140,25,2,1,100,0,0,0
12,3,2,1,46,0,4370,27,2,3,80,0,0,2
12,3,2,3,52,0,103066,41,2,2,105,0,0,0
12,3,2,3,42,0,60780,37,2,5,95,0,0,0
12,3,2,8,59,0,37324,37,2,2,105,0,0,1
12,3,2,1,67,0,29568,32,2,1,119,0,0,0
12,3,2,1,52,0,49098,40,2,3,100,0,0,0
12,3,2,1,41,0,3090,26,2,2,75,0,0,0
12,3,2,2,53,0,20568,30,2,4,107,0,0,0
12,3,2,3,42,0,1704,23,2,2,93,0,0,0
12,3,2,8,57,0,9765,30,2,4,116,0,0,0
12,3,2,9,39,0,623700,52,2,4,102,0,0,0
12,3,2,2,55,0,14952,34,2,1,94,0,0,0
12,3,2,1,40,0,71180,36,2,1,95,0,0,0
12,3,2,3,49,0,34564,35,2,1,109,0,0,0
12,3,2,5,46,0,11170,35,2,1,92,0,0,0
12,3,2,3,31,0,11016,25,2,2,70,0,0,0
12,3,2,3,46,0,5456,23,2,1,89,0,0,0
12,3,2,15,43,0,30784,35,2,4,100,0,0,0
12,3,2,1,51,0,138780,41,2,3,107,0,0,0
12,3,2,5,46,0,818,20,2,3,95,0,0,0
12,3,2,7,58,0,11361,28,2,7,112,0,0,0
12,3,2,1,48,0,26280,35,2,1,106,0,0,0
12,3,2,1,54,0,472485,49,2,1,111,0,0,0
12,3,2,1,48,0,43200,30,2,2,120,0,0,0
12,3,2,1,42,0,13344,29,2,9,85,0,0,0
12,3,2,2,51,0,11470,32,2,1,105,0,0,0
12,3,2,1,57,0,15628,28,2,1,111,0,0,0
12,3,2,1,59,0,63096,36,2,3,108,0,0,0
12,3,2,5,41,0,9616,30,2,1,107,0,0,0
12,3,2,3,54,0,686928,48,2,4,117,0,0,0
12,3,2,3,46,0,64320,35,2,1,111,0,0,0
12,3,2,3,55,0,52200,38,2,1,118,0,0,0
12,3,2,1,56,0,44184,32,2,3,100,0,0,1
12,3,2,1,44,0,66648,40,2,3,110,0,0,0
