n,|A|,|B|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
13,6,3,90,145,0,1,48,0,4,236,0,0,0
13,6,3,902,168,0,1,75,0,2,276,0,0,0
13,6,3,36,134,0,2,64,0,2,247,0,0,0
13,6,3,34,158,0,3,56,0,3,235,0,0,0
13,6,3,544,150,0,1,71,0,1,256,0,0,0
13,6,3,1306,136,0,1,58,0,7,245,0,0,0
13,6,3,1092,119,0,4,67,0,1,200,0,0,0
13,6,3,416,161,0,2,63,0,1,246,0,0,0
13,6,3,36,145,0,3,61,0,1,237,0,0,0
13,6,3,160,171,0,3,43,0,1,231,0,0,0
13,6,3,162,124,0,3,57,0,1,209,0,0,0
13,6,3,126,154,0,3,60,0,2,234,0,0,0
13,6,3,242,131,0,2,59,0,1,203,0,0,1
13,6,3,42,178,0,1,81,0,2,292,0,0,0
13,6,3,546,138,0,1,46,0,3,200,0,0,2
13,6,3,88,173,0,3,79,0,2,266,0,0,0
13,6,3,126,167,0,2,45,1,1,230,0,0,0
13,6,3,12,157,0,1,48,0,4,227,0,0,0
13,6,3,255,142,0,1,47,0,3,224,0,0,0
13,6,3,171,157,0,16,71,0,1,253,0,0,0
13,6,3,1668,156,0,3,56,0,2,231,0,0,0
13,6,3,33,137,0,1,70,0,2,237,0,0,0
13,6,3,38,129,0,12,72,0,4,217,0,0,0
13,6,3,64,145,0,3,44,0,3,220,0,0,0
13,6,3,40,153,0,5,48,0,1,218,0,0,0
13,6,3,24,130,0,1,54,0,1,229,0,0,0
13,6,3,325,183,0,6,70,0,1,283,0,0,0
13,6,3,5,134,0,3,65,0,1,225,0,0,0
13,6,3,64,155,0,1,53,0,2,242,0,0,0
13,6,3,28,146,0,3,58,0,1,220,0,0,0
13,6,3,692,160,0,3,61,0,2,240,0,0,0
13,6,3,21,132,0,9,51,0,1,221,0,0,0
13,6,3,147,142,0,5,56,0,4,217,0,0,0
13,6,3,20,131,0,1,50,0,2,216,0,0,0
13,6,3,3648,150,0,1,69,0,3,237,0,0,0
13,6,3,62,151,0,1,64,0,23,267,0,0,0
13,6,3,866,180,0,3,55,0,2,246,0,0,0
13,6,3,4,136,0,5,69,0,2,216,0,0,0
13,6,3,18,148,0,1,71,0,2,237,0,0,0
13,6,3,176,118,0,3,46,0,1,182,0,0,0
13,6,3,993,166,0,13,74,0,1,259,0,0,0
13,6,3,18,160,0,1,48,0,5,273,0,0,0
13,6,3,4,148,0,3,59,0,4,244,0,0,0
13,6,3,12,138,0,3,58,0,9,248,0,0,0
13,6,3,36,152,0,3,78,0,2,265,0,0,1
13,6,3,84,161,0,6,51,0,3,227,0,0,0
13,6,3,675,148,0,6,63,0,2,251,0,0,0
13,6,3,112,154,0,7,56,0,3,266,0,0,0
13,6,3,2304,155,0,6,68,0,2,242,0,0,0
13,6,3,5061,156,1,1,71,0,1,256,0,0,0
13,6,3,892,138,0,9,65,0,10,234,0,0,0
13,6,3,300,148,0,5,54,0,2,221,0,0,0
13,6,3,78,143,0,3,66,0,3,233,0,0,0
13,6,3,140,156,0,6,60,0,3,220,0,0,2
13,6,3,31,181,0,1,78,0,5,271,0,0,1
13,6,3,56,159,0,2,64,0,4,273,0,0,0
13,6,3,98,144,0,9,39,0,3,211,0,0,0
13,6,3,336,160,0,3,70,0,5,245,0,0,0
13,6,3,160,181,0,1,59,0,1,256,0,0,0
13,6,3,30,141,0,2,54,0,1,215,0,0,0
13,6,3,517,178,0,1,52,0,9,254,0,0,0
13,6,3,235,140,0,17,60,0,1,209,0,0,0
13,6,3,23,147,0,1,67,0,2,237,0,0,0
13,6,3,200,145,0,4,62,0,1,215,0,0,1
13,6,3,156,167,0,9,39,0,1,229,0,0,0
13,6,3,198,139,0,1,52,0,2,232,0,0,0
13,6,3,10,162,0,11,67,0,2,240,0,0,0
13,6,3,900,155,0,1,50,0,3,227,0,0,0
13,6,3,10,153,0,4,59,0,4,251,0,0,0
13,6,3,48,136,0,1,54,0,1,221,0,0,0
13,6,3,306,116,0,3,61,0,1,202,0,0,1
13,6,3,224,145,0,1,44,0,3,208,0,0,0
13,6,3,18,139,0,1,68,0,2,231,0,0,0
13,6,3,399,153,0,1,54,0,2,252,0,0,0
13,6,3,24,149,0,1,51,0,4,229,0,0,0
13,6,3,452,162,0,1,54,0,2,231,0,0,0
13,6,3,306,147,0,5,56,0,3,235,0,0,0
13,6,3,24,123,0,3,56,0,1,213,0,0,0
13,6,3,530,143,0,4,66,0,2,237,0,0,2
13,6,3,16,121,0,10,40,0,1,179,0,0,0
13,6,3,2640,172,0,1,72,0,1,278,0,0,0
13,6,3,48,140,0,3,47,0,1,206,0,0,0
