n,|A|,|B|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
13,4,1,310,92,0,1,0,1,1,119,0,0,0
13,4,1,141,84,0,1,0,1,4,110,0,0,1
13,4,1,76,78,0,1,0,1,2,96,0,0,0
13,4,1,35,82,0,1,0,1,5,111,0,0,0
13,4,1,400,97,0,1,0,1,2,125,0,0,0
13,4,1,358,86,0,1,0,1,15,109,0,0,6
13,4,1,30,59,0,1,0,1,3,80,0,0,1
13,4,1,142,98,0,1,0,1,13,114,0,0,1
13,4,1,192,95,0,1,0,1,7,127,0,0,0
13,4,1,5532,103,0,1,0,1,1,135,0,0,0
13,4,1,240,90,0,1,0,1,3,127,0,0,0
13,4,1,4576,93,0,1,0,1,2,138,0,0,1
13,4,1,133,91,0,1,0,1,3,103,0,0,2
13,4,1,3685,96,0,1,0,1,3,116,0,0,0
13,4,1,16,45,0,1,0,1,3,70,0,0,1
13,4,1,3,63,0,1,0,1,1,99,0,0,1
13,4,1,6,109,0,1,0,1,5,128,0,0,0
13,4,1,784,115,0,1,0,1,6,148,0,0,0
13,4,1,1819,99,0,1,0,1,1,126,0,0,0
13,4,1,117,73,0,1,0,1,1,91,0,0,0
13,4,1,396,81,0,1,0,1,1,105,0,0,1
13,4,1,80,83,0,1,0,1,1,109,0,0,0
13,4,1,734,108,0,1,0,1,2,124,0,0,0
13,4,1,4430,87,0,1,0,1,7,103,0,0,2
13,4,1,85,81,0,1,0,1,2,106,0,0,0
13,4,1,566,91,0,1,0,1,4,109,0,0,0
13,4,1,312,88,0,1,0,1,3,111,0,0,0
13,4,1,2746,96,0,1,0,1,9,118,0,0,4
13,4,1,1117,96,0,1,0,1,3,113,0,0,0
13,4,1,1344,102,0,1,0,1,1,136,0,0,0
13,4,1,520,107,0,1,0,1,1,126,0,0,0
13,4,1,810,74,0,1,0,1,3,90,0,0,2
13,4,1,120,88,0,1,0,1,14,118,0,0,2
13,4,1,3150,81,0,1,0,1,5,116,0,0,3
13,4,1,360,69,0,1,0,1,3,92,0,0,1
13,4,1,532,103,1,1,0,1,1,143,0,0,0
13,4,1,2904,96,0,1,0,1,5,122,0,0,0
13,4,1,10680,97,0,1,0,1,2,113,0,0,1
13,4,1,98,69,0,1,0,1,6,113,0,0,0
13,4,1,784,105,0,1,0,1,51,148,0,0,0
13,4,1,630,88,0,1,0,1,1,118,0,0,0
13,4,1,3222,93,1,1,0,1,3,127,0,0,0
13,4,1,192,53,0,1,0,1,1,95,0,0,1
13,4,1,34,98,0,1,0,1,3,140,0,0,0
13,4,1,4152,95,0,1,0,1,1,131,0,0,0
13,4,1,14,86,0,1,0,1,5,121,0,0,1
13,4,1,1494,81,0,1,0,1,1,102,0,0,1
13,4,1,90,79,0,1,0,1,1,100,0,0,0
13,4,1,38844,106,0,1,0,1,10,125,0,0,3
13,4,1,2232,68,0,1,0,1,12,108,0,0,0
13,4,1,1932,93,0,1,0,1,5,113,0,0,0
13,4,1,20768,100,0,1,0,1,3,113,0,0,0
13,4,1,581,94,0,1,0,1,7,123,0,0,0
13,4,1,532,78,0,1,0,1,1,116,0,0,1
13,4,1,2613,86,0,1,0,1,2,111,0,0,0
13,4,1,3176,106,0,1,0,1,1,140,0,0,0
13,4,1,10672,99,0,1,0,1,1,116,0,0,0
13,4,1,1002,65,0,1,0,1,2,97,0,0,0
13,4,1,107,49,0,1,0,1,1,67,0,0,1
13,4,1,144,101,0,1,0,1,5,132,0,0,0
13,4,1,419,79,0,1,0,1,1,106,0,0,1
13,4,1,91,60,0,1,0,1,1,93,0,0,1
