n,|A|,|B|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
12,4,3,12,61,0,5,43,0,2,124,0,0,0
12,4,3,168,82,0,2,65,0,1,167,0,0,0
12,4,3,1938,84,0,1,49,0,3,163,0,0,0
12,4,3,2550,87,0,3,57,0,2,153,0,0,0
12,4,3,132,80,0,2,62,0,3,161,0,0,0
12,4,3,69,79,0,6,66,0,1,168,0,0,0
12,4,3,415,76,0,15,51,0,1,145,0,0,0
12,4,3,24,71,0,1,48,0,3,164,0,0,0
12,4,3,60,73,0,1,37,0,1,132,0,0,0
12,4,3,636,84,0,1,62,0,7,164,0,0,0
12,4,3,34,60,0,1,47,0,1,125,0,0,0
12,4,3,48,85,0,25,60,0,1,162,0,0,0
12,4,3,816,90,0,1,37,0,4,162,0,0,0
12,4,3,450,83,0,11,59,0,2,182,0,0,0
12,4,3,779,88,0,1,49,0,2,178,0,0,0
12,4,3,114,72,0,1,56,0,2,149,0,0,0
12,4,3,14,65,0,1,35,0,1,107,0,0,0
12,4,3,326,80,1,5,52,0,1,140,0,0,0
12,4,3,36,46,0,3,50,0,3,126,0,0,0
12,4,3,573,72,0,1,56,0,5,153,0,0,0
12,4,3,40,67,0,1,59,0,1,152,0,0,0
12,4,3,84,64,0,1,53,0,1,141,0,0,0
12,4,3,24,70,0,2,59,0,1,157,0,0,0
12,4,3,212,84,0,1,18,0,5,147,0,0,0
12,4,3,158,74,0,2,44,0,1,157,0,0,0
12,4,3,609,91,0,3,57,0,3,173,0,0,0
12,4,3,6,81,0,3,60,0,1,151,0,0,0
12,4,3,117,78,0,9,56,0,1,145,0,0,0
12,4,3,204,78,1,3,50,0,1,140,0,0,0
12,4,3,134,71,0,3,55,0,1,149,0,0,0
12,4,3,407,88,0,1,49,0,3,150,0,0,0
12,4,3,256,57,1,4,52,0,1,130,0,0,1
12,4,3,662,83,0,3,50,0,2,174,0,0,0
12,4,3,202,69,0,2,43,0,1,129,0,0,0
12,4,3,994,89,0,5,47,0,2,166,0,0,0
12,4,3,130,68,0,6,59,0,4,160,0,0,0
12,4,3,378,92,0,1,55,0,4,162,0,0,0
12,4,3,1116,99,0,3,49,0,11,172,0,0,0
12,4,3,24,80,0,4,62,0,12,156,0,0,0
12,4,3,1140,67,0,1,58,0,1,158,0,0,0
12,4,3,924,90,0,1,47,0,2,152,0,0,0
12,4,3,12,78,0,1,49,0,1,144,0,0,0
12,4,3,1104,78,0,1,51,0,4,149,0,0,0
12,4,3,254,66,0,4,50,0,5,145,0,0,0
12,4,3,220,86,0,1,45,0,3,162,0,0,0
12,4,3,66,84,0,1,52,0,5,160,0,0,0
12,4,3,879,92,0,1,36,0,2,160,0,0,0
12,4,3,148,79,0,1,46,0,4,152,0,0,0
12,4,3,560,76,0,3,34,0,1,139,0,0,0
12,4,3,10,82,0,1,53,0,1,171,0,0,0
12,4,3,300,89,0,3,53,0,3,160,0,0,0
12,4,3,1710,78,0,1,42,0,1,126,0,0,1
12,4,3,1504,90,0,3,41,0,5,138,0,0,2
12,4,3,682,72,0,3,41,0,1,128,0,0,0
12,4,3,273,66,0,2,65,0,1,158,0,0,0
12,4,3,188,81,1,3,32,0,2,147,0,0,0
12,4,3,432,88,0,1,54,0,5,168,0,0,0
12,4,3,150,76,0,3,51,0,8,165,0,0,0
12,4,3,156,75,0,1,37,0,4,158,0,0,0
12,4,3,510,71,0,9,43,0,1,134,0,0,0
12,4,3,4200,90,0,3,61,0,3,174,0,0,1
12,4,3,13376,96,0,1,24,0,2,141,0,0,0
12,4,3,4,93,0,1,41,0,6,170,0,0,0
12,4,3,54,67,0,3,54,1,12,147,0,0,0
12,4,3,203,81,0,1,39,0,4,142,0,0,0
12,4,3,30,79,0,4,67,0,4,176,0,0,0
12,4,3,108,72,0,3,53,0,3,149,0,0,0
12,4,3,121,74,0,1,42,0,1,133,0,0,0
12,4,3,108,67,0,6,53,0,1,148,0,0,0
12,4,3,55,74,0,1,52,0,2,151,0,0,0
12,4,3,1128,83,0,3,60,0,1,161,0,0,0
12,4,3,740,71,0,3,47,0,3,153,0,0,0
12,4,3,141,67,0,1,49,0,1,145,0,0,0
12,4,3,144,66,0,3,47,0,2,152,0,0,0
12,4,3,712,69,0,15,48,0,1,147,0,0,0
12,4,3,20,71,0,1,44,0,1,148,0,0,0
12,4,3,2256,73,0,39,58,0,1,164,0,0,0
12,4,3,836,79,0,3,50,0,1,142,0,0,0
12,4,3,150,67,0,11,57,0,10,145,0,0,0
12,4,3,1902,82,0,2,50,0,1,155,0,0,0
12,4,3,204,77,0,3,52,0,3,160,0,0,0
12,4,3,51540,84,0,8,50,0,1,141,0,0,1
12,4,3,597,93,0,3,52,0,1,167,0,0,0
12,4,3,192,77,0,1,44,0,1,143,0,0,0
12,4,3,64,69,0,9,55,0,1,160,0,0,0
12,4,3,316,60,0,4,47,0,2,129,0,0,0
12,4,3,972,86,0,3,43,0,4,172,0,0,0
12,4,3,3806,87,0,5,44,0,1,142,0,0,0
12,4,3,215,58,0,4,57,0,2,138,0,0,1
12,4,3,35,69,0,9,53,0,6,159,0,0,0
12,4,3,74977,101,0,1,47,0,2,165,0,0,0
12,4,3,7368,71,0,3,56,0,2,146,0,0,0
12,4,3,2024,83,0,1,35,0,1,135,0,0,0
12,4,3,260,75,0,1,43,0,6,137,0,0,0
12,4,3,612,84,0,1,58,0,6,165,0,0,0
12,4,3,7360,97,0,3,48,0,1,181,0,0,0
12,4,3,32,86,0,1,52,0,3,152,0,0,0
12,4,3,148,81,0,4,44,0,1,153,0,0,0
12,4,3,72,85,0,1,51,0,1,173,0,0,0
12,4,3,248,80,0,1,44,0,1,152,0,0,0
