n,|A|,|B|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
11,5,2,3,76,0,14520,36,2,1,122,0,0,0
11,5,2,3,95,0,6480,25,2,1,131,0,0,0
11,5,2,5,84,0,5610,29,2,4,131,0,0,0
11,5,2,3,97,0,17584,31,2,2,154,0,0,0
11,5,2,1,91,0,56592,36,2,4,139,0,0,0
11,5,2,9,79,0,31482,32,2,6,117,0,0,6
11,5,2,2,91,0,1990,25,2,1,142,0,0,0
11,5,2,1,83,0,24408,30,2,1,119,0,0,1
11,5,2,1,76,0,1048,22,2,1,115,0,0,0
11,5,2,1,94,0,46,8,2,2,126,0,0,0
11,5,2,1,84,0,772,20,2,1,119,0,0,0
11,5,2,3,94,0,70560,35,2,12,147,0,0,0
11,5,2,4,93,0,45360,33,2,1,145,0,0,0
11,5,2,2,79,0,312,13,2,1,121,0,0,0
11,5,2,15,84,0,8965,31,2,1,122,0,0,0
11,5,2,2,92,0,2256,17,2,3,147,0,0,0
11,5,2,1,92,0,16812,32,2,2,132,0,0,0
11,5,2,1,98,0,4124,27,2,1,141,0,0,0
11,5,2,5,99,0,8400,31,2,3,150,0,0,0
11,5,2,3,60,0,4850,27,2,1,107,0,0,0
11,5,2,1,94,0,6840,25,2,2,142,0,0,0
11,5,2,1,73,0,164,14,2,5,111,0,0,0
11,5,2,1,98,0,57704,33,2,7,143,0,0,0
11,5,2,6,108,0,10206,30,2,4,168,0,0,0
11,5,2,6,87,0,27924,31,2,6,124,0,0,3
11,5,2,1,92,0,1640,20,2,26,142,0,0,0
11,5,2,3,77,0,822,21,2,3,122,0,0,0
11,5,2,1,92,0,7326,29,2,1,130,0,0,0
11,5,2,8,88,0,267,14,2,3,127,0,0,0
11,5,2,3,81,0,780,17,2,1,108,0,0,0
11,5,2,2,92,0,2916,21,2,1,131,0,0,0
11,5,2,3,93,0,1257,24,2,3,133,0,0,0
11,5,2,2,65,0,22132,35,2,4,109,0,0,0
11,5,2,10,96,0,31164,31,2,1,133,0,0,0
11,5,2,2,91,0,11550,31,2,1,144,0,0,0
11,5,2,1,96,0,7700,32,2,1,150,0,0,0
11,5,2,3,82,0,3080,27,2,1,123,0,0,0
11,5,2,9,73,0,5904,28,2,2,122,0,0,0
11,5,2,1,71,0,3780,25,2,1,115,0,0,0
11,5,2,15,92,0,10044,30,2,3,148,0,0,0
11,5,2,2,81,0,6246,27,2,1,116,0,0,0
11,5,2,1,84,0,1848,23,2,4,133,0,0,0
11,5,2,9,104,0,12256,30,2,1,151,0,0,0
11,5,2,1,74,0,19602,34,2,3,116,0,0,0
11,5,2,2,95,0,13704,30,2,1,137,0,0,0
11,5,2,3,69,0,3003,23,2,1,109,0,0,0
11,5,2,3,96,0,19866,33,2,3,141,0,0,3
11,5,2,24,97,0,3048,22,2,3,136,0,0,0
11,5,2,1,62,0,47880,36,2,2,105,0,0,0
11,5,2,1,89,0,4498,30,2,7,129,0,0,0
11,5,2,3,105,0,22522,34,2,9,156,0,0,0
11,5,2,1,87,0,1136,21,2,6,131,0,0,0
11,5,2,1,72,0,18820,33,2,2,119,0,0,0
11,5,2,3,67,0,11626,29,2,1,120,0,0,0
11,5,2,3,94,0,14580,32,2,15,138,0,0,0
11,5,2,5,78,0,14088,29,2,1,133,0,0,0
11,5,2,3,79,0,5832,24,2,1,121,0,0,0
11,5,2,1,79,0,15804,28,2,1,112,0,0,0
11,5,2,1,84,0,902,20,2,1,133,0,0,0
11,5,2,1,88,0,24420,33,2,3,145,0,0,0
11,5,2,1,72,0,9612,28,2,1,105,0,0,0
11,5,2,1,99,0,21040,31,2,6,155,0,0,0
11,5,2,1,80,0,84000,35,2,1,125,0,0,1
11,5,2,3,88,0,18315,34,2,10,137,0,0,0
11,5,2,1,96,0,8910,27,2,2,144,0,0,0
11,5,2,1,79,0,2286,23,2,2,127,0,0,0
11,5,2,4,84,0,10030,31,2,1,129,0,0,0
11,5,2,1,74,0,816,17,2,2,108,0,0,0
11,5,2,3,73,0,1008,21,2,1,104,0,0,0
11,5,2,2,92,0,1804,23,2,2,129,0,0,2
11,5,2,3,88,0,1225,24,2,1,127,0,0,0
11,5,2,1,84,0,2650,26,2,2,122,0,0,0
11,5,2,3,68,0,1344,17,2,2,122,0,0,0
11,5,2,2,86,0,20864,32,2,1,122,0,0,0
11,5,2,3,82,0,18480,29,2,3,139,0,0,0
11,5,2,9,78,0,20052,30,2,1,115,0,0,0
11,5,2,1,99,0,43890,40,2,13,146,0,0,2
11,5,2,1,65,0,81,10,2,5,116,0,0,0
11,5,2,5,70,0,156288,39,2,4,118,0,0,0
11,5,2,1,75,0,97020,37,2,14,129,0,0,0
11,5,2,1,89,0,988,20,2,1,115,0,0,1
11,5,2,3,89,0,124740,43,2,2,139,0,0,0
11,5,2,8,84,0,570,15,2,1,124,0,0,0
11,5,2,9,96,0,3304,26,2,2,151,0,0,0
11,5,2,1,81,0,13682,31,2,2,122,0,0,0
11,5,2,1,89,0,96720,39,2,1,136,0,0,0
11,5,2,1,81,0,10384,29,2,2,127,0,0,0
11,5,2,1,96,0,12705,33,2,1,151,0,0,0
11,5,2,1,98,0,280,18,2,1,137,0,0,0
11,5,2,1,85,0,10746,29,2,1,117,0,0,0
11,5,2,12,74,0,559,23,2,5,114,0,0,0
11,5,2,11,94,0,1938,27,2,1,134,0,0,0
11,5,2,1,66,0,52400,35,2,2,110,0,0,0
11,5,2,1,94,0,1936,25,2,1,126,0,0,1
11,5,2,4,96,0,7128,27,2,2,133,0,0,1
11,5,2,1,84,0,4602,25,2,3,139,0,0,0
11,5,2,1,86,0,11272,29,2,3,139,0,0,0
11,5,2,3,77,0,1260,18,2,2,111,0,0,0
11,5,2,1,100,0,1836,26,2,10,152,0,0,0
11,5,2,5,92,0,3510,24,2,2,129,0,0,0
