n,|A|,|B|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
12,5,4,7,103,0,1683,84,0,1,212,0,0,0
12,5,4,1,124,0,864,70,0,9,225,0,0,0
12,5,4,2,109,0,2360,78,0,31,229,0,0,0
12,5,4,2,111,0,1119,92,0,1,214,0,0,0
12,5,4,1,105,0,376,77,0,3,196,0,0,0
12,5,4,3,109,0,90,88,0,2,237,0,0,0
12,5,4,1,101,0,146,71,0,8,223,0,0,0
12,5,4,3,122,0,15522,80,0,14,231,0,0,0
12,5,4,6,92,0,46,83,0,3,199,0,0,0
12,5,4,1,72,0,57,61,0,1,135,0,0,1
12,5,4,2,95,0,132,76,0,1,215,0,0,0
12,5,4,1,90,0,27,73,0,1,175,0,0,0
12,5,4,6,100,0,60,67,0,1,210,0,0,0
12,5,4,2,98,0,4248,79,0,3,208,0,0,0
12,5,4,3,90,0,240,71,0,2,185,0,0,0
12,5,4,1,99,0,90000,105,0,3,235,0,0,0
12,5,4,2,106,0,324,78,0,1,229,0,0,0
12,5,4,1,101,0,91,62,0,1,203,0,0,0
12,5,4,2,119,0,15,70,1,1,209,0,0,0
12,5,4,1,110,0,70,67,0,2,211,0,0,0
12,5,4,1,119,0,1440,95,0,2,234,0,0,0
12,5,4,1,95,0,363,80,0,3,197,0,0,0
12,5,4,1,110,0,389,74,0,1,211,0,0,0
12,5,4,1,121,0,65,67,1,2,223,0,0,0
12,5,4,1,101,0,472,93,0,3,208,0,0,0
12,5,4,2,96,0,510,91,0,1,200,0,0,0
12,5,4,4,105,0,118,87,0,1,206,0,0,0
12,5,4,1,95,0,864,88,0,1,199,0,0,0
12,5,4,1,96,0,15,62,0,1,201,0,0,0
12,5,4,1,125,0,58,79,0,1,231,0,0,0
12,5,4,2,118,0,280,74,0,1,224,0,0,0
12,5,4,2,115,0,1516,91,0,2,222,0,0,0
12,5,4,1,102,0,710,77,0,1,207,0,0,0
12,5,4,1,101,0,310,72,0,6,186,0,0,0
12,5,4,5,99,0,336,58,0,1,196,0,0,0
12,5,4,6,105,0,368,98,0,2,219,0,0,0
12,5,4,1,87,0,380,75,0,3,174,0,0,0
12,5,4,1,118,0,922,78,0,3,229,0,0,0
12,5,4,2,108,0,230,54,0,1,218,0,0,0
12,5,4,1,72,0,36,81,0,6,183,0,0,0
12,5,4,3,81,0,42,61,0,1,150,0,0,0
12,5,4,5,114,0,90,44,0,6,187,0,0,0
12,5,4,1,79,0,49,84,0,1,195,0,0,0
12,5,4,2,116,0,2090,87,0,1,216,0,0,0
12,5,4,1,97,0,684,72,0,3,206,0,0,0
12,5,4,3,108,0,252,71,0,2,220,0,0,0
12,5,4,1,100,0,9720,88,1,2,204,0,0,0
12,5,4,2,115,0,575,70,0,1,216,0,0,0
12,5,4,3,106,0,25,87,0,3,234,0,0,0
12,5,4,3,80,0,168,92,0,1,196,0,0,0
12,5,4,6,91,0,195,74,0,5,193,0,0,0
12,5,4,2,106,0,223,78,0,1,222,0,0,0
12,5,4,2,107,0,315,79,0,1,201,0,0,0
12,5,4,2,132,0,1005,79,0,1,219,0,0,0
12,5,4,2,102,0,360,87,0,2,208,0,0,0
12,5,4,3,107,0,1386,83,0,1,203,0,0,0
12,5,4,1,87,0,4896,101,0,3,214,0,0,0
12,5,4,15,95,0,57,67,0,6,218,0,0,0
12,5,4,15,114,0,512,81,0,4,216,0,0,0
12,5,4,3,107,0,76,84,0,2,208,0,0,0
12,5,4,9,98,0,32,37,0,6,152,0,0,0
12,5,4,3,92,0,462,89,0,5,213,0,0,0
12,5,4,1,103,0,138,63,1,2,190,0,0,0
12,5,4,2,100,0,152,84,0,2,202,0,0,0
12,5,4,2,86,0,96,67,0,1,171,0,0,0
12,5,4,2,94,0,120,77,0,3,192,0,0,0
12,5,4,5,82,0,10608,82,0,1,181,0,0,0
12,5,4,12,94,0,467,90,0,3,211,0,0,0
12,5,4,1,86,0,1980,76,0,27,173,0,0,0
12,5,4,3,105,0,974,91,0,6,229,0,0,0
12,5,4,5,91,0,5,80,0,1,189,0,0,0
12,5,4,5,102,0,251,81,0,3,208,0,0,0
12,5,4,1,102,0,72,61,0,1,180,0,0,0
12,5,4,9,96,0,338,56,0,1,157,0,0,1
12,5,4,1,99,0,296,71,0,2,210,0,0,0
12,5,4,1,97,0,2802,87,0,16,206,0,0,0
12,5,4,4,102,0,501,83,0,2,206,0,0,0
12,5,4,16,109,0,4088,92,0,3,226,0,0,0
12,5,4,10,107,0,694,80,0,1,210,0,0,0
12,5,4,4,100,0,356,93,0,5,227,0,0,0
12,5,4,1,97,0,5168,89,0,2,197,0,0,0
12,5,4,5,104,0,156,94,0,3,210,0,0,2
12,5,4,3,98,0,408,71,0,3,182,0,0,0
12,5,4,6,101,0,477,79,1,1,200,0,0,0
12,5,4,7,109,0,271,77,0,5,211,0,0,0
12,5,4,1,90,0,42,74,0,1,206,0,0,0
12,5,4,5,96,0,360,90,0,2,196,0,0,0
12,5,4,2,94,0,700,89,0,1,200,0,0,0
12,5,4,8,109,0,44,64,0,3,222,0,0,0
12,5,4,1,100,0,330,75,0,2,194,0,0,0
12,5,4,3,100,0,90,62,0,1,204,0,0,0
12,5,4,3,99,0,112,76,1,1,195,0,0,0
12,5,4,9,76,0,141,70,0,1,166,0,0,0
12,5,4,1,91,0,2944,82,0,3,209,0,0,0
12,5,4,1,86,0,510,88,0,1,198,0,0,0
12,5,4,27,103,0,1126,95,0,1,234,0,0,0
12,5,4,1,97,0,156,69,0,1,192,0,0,0
12,5,4,2,99,0,133,73,0,1,197,0,0,0
12,5,4,5,108,0,192,84,0,3,235,0,0,0
12,5,4,4,124,0,824,78,1,3,219,0,0,2
