n,|A|,|B|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
10,6,5,36,84,0,1,59,0,1,159,0,0,0
10,6,5,4,66,0,1,74,0,1,157,0,0,0
10,6,5,100,92,0,1,57,0,2,200,0,0,0
10,6,5,14,98,0,8,80,0,2,195,0,0,0
10,6,5,147,104,0,5,81,0,2,193,0,0,1
10,6,5,94,105,0,9,64,0,2,190,0,0,0
10,6,5,58,97,0,1,80,0,5,188,0,0,0
10,6,5,150,91,1,4,82,0,2,193,0,0,0
10,6,5,82,106,0,2,71,0,1,195,0,0,0
10,6,5,227,97,0,1,62,1,1,187,0,0,0
10,6,5,40,96,1,1,81,0,3,201,0,0,0
10,6,5,12,86,0,4,80,0,2,184,0,0,0
10,6,5,12,71,0,1,74,0,1,166,0,0,0
10,6,5,18,86,0,1,68,0,1,173,0,0,0
10,6,5,120,84,0,12,71,0,3,196,0,0,0
10,6,5,6,90,0,1,73,0,6,203,0,0,0
10,6,5,4,97,0,1,71,0,3,182,0,0,0
10,6,5,55,85,0,5,76,0,6,190,0,0,0
10,6,5,77,91,0,10,60,0,3,154,0,0,0
10,6,5,26,82,0,1,88,0,24,186,0,0,2
10,6,5,1,95,0,3,71,0,2,194,0,0,0
10,6,5,10,85,0,4,74,0,2,195,0,0,0
10,6,5,15,89,1,6,72,0,1,195,0,0,0
10,6,5,96,98,1,1,72,0,1,206,0,0,0
10,6,5,28,97,0,4,77,0,1,191,0,0,0
10,6,5,6,86,0,1,76,0,3,201,0,0,0
10,6,5,3,80,0,1,85,0,4,184,0,0,0
10,6,5,50,93,0,2,65,0,1,179,0,0,0
10,6,5,42,85,0,1,61,0,8,181,0,0,0
10,6,5,45,77,0,1,80,0,2,189,0,0,0
10,6,5,10,73,0,1,74,0,1,173,0,0,0
10,6,5,354,95,0,1,80,0,2,196,0,0,0
10,6,5,45,91,0,2,82,0,3,184,0,0,0
10,6,5,20,75,0,3,66,0,1,171,0,0,0
10,6,5,12,84,0,7,79,0,8,177,0,0,3
10,6,5,6,68,0,1,66,0,3,181,0,0,0
10,6,5,26,98,0,1,64,0,2,180,0,0,0
10,6,5,10,82,0,6,63,0,2,159,0,0,0
10,6,5,67,94,1,1,78,0,4,192,0,0,0
10,6,5,156,89,0,1,56,0,1,157,0,0,0
10,6,5,42,89,0,2,67,0,1,173,0,0,0
10,6,5,4,69,0,5,70,0,2,161,0,0,0
10,6,5,22,95,0,3,91,0,1,201,0,0,0
10,6,5,24,88,0,1,70,0,3,198,0,0,0
10,6,5,20,91,0,2,67,0,2,176,0,0,0
10,6,5,2,77,0,1,73,0,2,171,0,0,0
10,6,5,5,87,0,1,66,0,3,181,0,0,0
10,6,5,51,99,1,3,72,0,5,203,0,0,0
10,6,5,18,93,0,6,85,0,4,212,0,0,0
10,6,5,45,86,0,15,92,0,3,191,0,0,2
10,6,5,8,81,0,1,64,0,1,186,0,0,0
10,6,5,60,96,0,3,78,0,3,194,0,0,0
10,6,5,136,105,0,4,68,0,2,184,0,0,0
10,6,5,129,105,0,2,73,0,1,197,0,0,0
10,6,5,143,92,0,1,62,0,1,189,0,0,0
10,6,5,4,85,0,4,66,0,2,163,0,0,0
10,6,5,9,91,0,1,79,0,2,184,0,0,0
10,6,5,12,84,0,4,86,0,1,191,0,0,1
10,6,5,112,103,0,2,68,0,3,191,0,0,0
10,6,5,20,83,1,1,68,0,1,184,0,0,0
10,6,5,558,110,0,3,67,0,2,182,0,0,2
10,6,5,182,96,0,7,77,0,2,194,0,0,0
10,6,5,330,99,0,3,68,0,3,191,0,0,0
10,6,5,308,103,0,6,76,0,1,196,0,0,0
10,6,5,8,95,0,3,65,0,3,173,0,0,0
10,6,5,1,80,0,1,63,0,1,162,0,0,0
10,6,5,90,96,0,8,77,0,1,192,0,0,0
10,6,5,76,88,0,4,80,0,3,180,0,0,0
10,6,5,2,75,0,3,59,0,3,164,0,0,0
10,6,5,24,96,0,2,79,0,5,196,0,0,0
10,6,5,24,95,0,2,72,0,1,183,0,0,0
10,6,5,5,80,0,6,81,1,3,173,0,0,0
10,6,5,6,89,0,7,77,0,4,190,0,0,0
10,6,5,200,93,0,3,86,0,6,203,0,0,0
10,6,5,198,107,0,1,77,0,1,199,0,0,0
10,6,5,16,96,0,25,93,0,1,208,0,0,0
10,6,5,54,103,0,1,66,0,2,180,0,0,0
10,6,5,67,101,0,1,80,0,1,199,0,0,0
10,6,5,2,82,0,14,89,0,3,198,0,0,0
10,6,5,400,102,1,2,77,0,1,200,0,0,0
10,6,5,6,83,0,9,61,0,1,161,0,0,0
10,6,5,408,103,0,1,67,0,3,187,0,0,0
10,6,5,105,95,0,3,66,0,6,182,0,0,0
10,6,5,100,95,0,1,61,1,1,178,0,0,0
10,6,5,41,95,0,3,59,0,3,167,0,0,0
10,6,5,297,87,0,3,72,0,3,171,0,0,0
10,6,5,47,91,0,7,85,0,6,184,0,0,0
10,6,5,6,87,0,2,75,0,2,188,0,0,0
10,6,5,144,84,0,3,83,0,3,192,0,0,0
10,6,5,53,77,0,4,62,0,2,174,0,0,0
10,6,5,6,84,0,1,61,0,3,165,0,0,0
10,6,5,1,91,0,1,71,0,2,186,0,0,0
10,6,5,4,88,0,2,58,0,1,167,0,0,0
10,6,5,88,107,0,1,69,0,3,189,0,0,0
10,6,5,54,101,0,1,66,0,1,184,0,0,0
10,6,5,9,97,0,1,68,0,2,207,0,0,0
