|U|,|A|,n,|M(A)|,|M(B)|,|AUB|,|M(AUB)|,|M(A)UM(B)|,|M(A)M(B)|,|M(AUB)M(A)|,|M(AUB)M(B)|,|M(AUB)A|,|M(AUB)B|
24,9,4,3,1,16,5,4,0,0,1,2,3
24,7,4,1,1,11,3,2,0,1,0,1,1
24,3,4,1,1,6,2,2,0,0,1,0,2
24,9,4,1,1,12,4,2,0,1,0,3,1
24,1,4,1,1,2,12,2,0,1,1,1,1
24,3,4,1,1,5,1,2,0,0,1,0,0
24,11,4,2,1,17,3,3,0,2,0,3,1
24,11,4,1,1,16,6,2,0,0,0,2,4
24,9,4,1,3,17,1,4,0,1,0,1,0
24,5,4,1,1,10,2,2,0,0,0,0,2
