|U|,|A|,n,|M(A)|,|M(B)|,|AUB|,|M(AUB)|,|M(A)UM(B)|,|M(A)M(B)|,|M(AUB)M(A)|,|M(AUB)M(B)|,|M(AUB)A|,|M(AUB)B|
24,9,4,1,3,12,2,3,1,1,1,2,0
24,3,4,1,3,6,5,4,0,0,2,0,2
24,11,4,1,1,16,3,2,0,1,0,2,1
24,5,4,1,1,8,5,2,0,0,1,1,3
24,9,4,1,1,15,1,2,0,0,0,0,1
24,9,4,1,2,14,1,3,0,0,1,1,1
24,7,4,1,1,13,1,2,0,1,0,1,1
24,9,4,1,1,13,1,2,0,0,0,0,1
24,9,4,3,2,16,1,5,0,0,1,0,1
24,11,4,1,1,16,3,2,0,0,0,2,1
