|U|,|A|,n,|M(A)|,|M(B)|,|AUB|,|M(AUB)|,|M(A)UM(B)|,|M(A)M(B)|,|M(AUB)M(A)|,|M(AUB)M(B)|,|M(AUB)A|,|M(AUB)B|
24,5,4,1,1,7,1,2,0,0,0,0,1
24,11,4,2,1,17,1,3,0,0,0,1,1
24,7,4,1,1,13,1,2,0,0,0,0,1
24,11,4,1,1,14,3,2,0,0,1,2,3
24,3,4,1,1,6,1,2,0,0,0,0,1
24,7,4,1,1,12,2,2,0,1,0,2,1
24,7,4,3,1,13,1,4,0,0,0,1,0
24,9,4,1,1,16,3,2,0,0,0,1,1
24,11,4,1,1,17,1,2,0,0,0,1,1
24,1,4,1,1,2,3,2,0,1,1,1,1
