|U|,|A|,n,|M(A)|,|M(B)|,|AUB|,|M(AUB)|,|M(A)UM(B)|,|M(A)M(B)|,|M(AUB)M(A)|,|M(AUB)M(B)|,|M(AUB)A|,|M(AUB)B|
24,9,4,3,1,13,1,4,0,0,1,1,1
24,7,4,2,1,12,3,3,0,0,1,1,1
24,11,4,1,1,16,1,2,0,0,0,0,1
24,3,4,1,3,6,4,4,0,1,1,1,1
24,9,4,3,1,14,3,4,0,2,0,2,0
24,7,4,1,1,12,3,2,0,0,0,1,1
24,11,4,1,1,18,2,2,0,0,0,1,1
24,3,4,1,1,6,2,2,0,0,0,1,0
24,5,4,1,1,9,1,2,0,0,0,1,0
24,11,4,1,2,16,2,3,0,0,1,1,1
