|U|,|A|,n,|M(A)|,|M(B)|,|AUB|,|M(AUB)|,|M(A)UM(B)|,|M(A)M(B)|,|M(AUB)M(A)|,|M(AUB)M(B)|,|M(AUB)A|,|M(AUB)B|
24,11,4,1,1,18,8,2,0,0,1,3,5
24,11,4,1,1,17,1,2,0,0,1,0,1
24,5,4,1,1,9,1,2,0,0,1,0,1
24,9,4,2,1,15,1,3,0,0,0,0,0
24,9,4,1,1,16,8,2,0,1,0,5,3
24,9,4,1,3,16,8,4,0,1,3,4,4
24,3,4,1,1,6,2,2,0,0,1,1,1
24,1,4,1,1,2,3,2,0,1,1,1,1
24,5,4,1,1,7,1,1,1,1,1,1,1
24,5,4,3,1,8,3,3,1,2,1,2,2
