|A|,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|
268,2,1,3,1
204,2,1,2,1
129,1,0,1,0
77,1,0,1,1
293,2,2,1,1
219,1,1,1,1
18,3,0,14,1
11,1,0,1,0
108,2,1,1,0
325,1,1,1,0
42,3,0,2,1
278,1,1,2,1
94,1,1,1,0
275,1,1,1,1
175,1,0,2,2
251,1,1,1,1
209,1,1,1,1
310,1,0,1,0
200,2,0,1,0
352,1,0,1,0
253,1,1,1,0
200,1,0,2,1
111,2,1,1,0
45,1,0,1,0
239,1,0,1,1
157,1,1,1,0
127,1,0,1,1
280,2,1,1,0
215,1,0,1,1
232,2,0,1,1
354,2,2,1,0
149,1,1,1,0
99,1,0,3,0
109,1,1,2,1
40,1,1,10,1
258,1,0,1,1
117,1,0,1,0
90,1,0,1,1
75,1,0,1,0
332,1,1,1,1
209,1,1,1,1
119,1,0,1,1
228,1,0,1,0
45,2,0,1,1
297,1,0,1,1
284,2,0,1,1
136,5,3,2,0
92,2,0,3,1
183,1,0,1,0
300,1,0,1,1
131,1,1,1,0
201,1,0,1,0
302,1,0,3,2
134,1,1,3,2
141,2,1,1,0
52,2,1,1,0
125,1,0,2,1
121,1,0,1,1
306,4,4,2,0
284,1,1,1,0
348,1,0,6,3
312,1,1,1,1
336,1,1,1,1
331,1,1,1,1
191,1,0,2,1
29,1,0,1,0
285,1,1,1,1
86,4,0,4,0
43,1,0,1,0
10,3,0,22,1
