|A|,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|
5,1,1,3,2
7,2,2,1,0
9,1,0,1,1
9,3,1,2,2
10,4,2,4,4
3,1,1,1,1
7,1,1,2,1
4,5,2,3,2
2,12,2,8,2
5,1,1,1,1
7,1,0,1,0
1,1,1,1,1
10,3,3,3,3
3,1,0,1,1
3,3,2,1,1
2,5,2,4,2
1,1,1,1,1
10,5,3,1,1
8,1,1,2,2
3,1,1,3,2
7,1,1,1,0
2,24,2,8,2
9,1,0,3,2
10,2,2,2,1
10,1,1,2,2
6,12,4,3,3
6,1,1,2,1
6,4,1,3,2
1,1,1,1,1
2,6,2,2,2
3,1,1,1,1
1,1,1,1,1
9,1,1,1,1
10,1,1,4,4
1,1,1,1,1
5,1,1,1,1
11,1,1,1,1
2,2,2,12,2
7,3,3,1,1
2,5,2,24,2
1,1,1,1,1
10,8,5,1,1
3,3,0,1,1
9,1,1,1,1
5,1,0,1,1
1,1,1,1,1
7,1,1,3,3
1,1,1,1,1
7,3,3,1,1
5,1,1,1,0
8,1,1,1,1
5,1,1,1,1
9,1,1,1,1
5,1,1,1,1
8,4,2,2,1
3,1,1,1,1
9,3,3,1,1
9,3,2,1,1
6,5,2,8,3
2,8,2,2,2
11,1,1,1,1
5,1,1,1,1
8,1,0,5,2
8,1,1,6,4
7,1,1,1,1
8,6,4,3,2
10,2,1,8,5
5,1,1,1,1
10,5,3,3,3
7,3,2,1,1
