Distance, Median set size, Permutation Size 
2,1,5
3,1,5
3,1,5
2,1,5
2,1,5
2,1,5
3,1,5
4,1,5
4,1,5
3,1,5
4,1,5
5,1,5
3,1,5
4,1,5
5,1,5
6,1,5
5,1,5
4,1,5
6,1,5
5,1,5
4,1,5
3,1,5
2,1,5
2,1,5
3,1,5
4,1,5
4,1,5
3,1,5
3,1,5
3,1,5
4,1,5
5,1,5
5,1,5
4,1,5
5,1,5
6,1,5
4,1,5
5,1,5
6,1,5
7,1,5
6,1,5
5,1,5
7,1,5
6,1,5
5,1,5
4,1,5
4,1,5
4,1,5
5,1,5
6,1,5
6,1,5
5,1,5
3,1,5
3,1,5
4,1,5
5,1,5
5,1,5
4,1,5
5,1,5
6,1,5
6,1,5
7,1,5
8,1,5
7,1,5
6,1,5
5,1,5
7,1,5
8,1,5
7,1,5
6,1,5
6,1,5
7,1,5
5,1,5
6,1,5
7,1,5
8,1,5
7,1,5
8,1,5
6,1,5
7,1,5
8,1,5
9,1,5
5,1,5
6,1,5
4,1,5
5,1,5
6,1,5
7,1,5
9,1,5
10,1,5
8,1,5
7,1,5
8,1,5
9,1,5
7,1,5
6,1,5
8,1,5
7,1,5
6,1,5
5,1,5
8,1,5
7,1,5
9,1,5
8,1,5
7,1,5
6,1,5
10,1,5
9,1,5
9,1,5
8,1,5
7,1,5
8,1,5
6,1,5
5,1,5
7,1,5
6,1,5
5,1,5
4,1,5
2,1,5
3,1,5
3,1,5
2,1,5
3,1,5
3,1,5
4,1,5
5,1,5
4,1,5
3,1,5
4,1,5
2,1,5
3,1,5
4,1,5
5,1,5
6,1,5
5,1,5
6,1,5
5,1,5
4,1,5
4,1,5
2,1,5
3,1,5
2,1,5
3,1,5
4,1,5
4,1,5
3,1,5
4,1,5
4,1,5
5,1,5
6,1,5
5,1,5
4,1,5
5,1,5
3,1,5
4,1,5
5,1,5
6,1,5
7,1,5
6,1,5
7,1,5
6,1,5
5,1,5
5,1,5
4,1,5
5,1,5
5,1,5
6,1,5
7,1,5
6,1,5
3,1,5
4,1,5
4,1,5
5,1,5
6,1,5
5,1,5
5,1,5
6,1,5
6,1,5
7,1,5
8,1,5
7,1,5
7,1,5
6,1,5
8,1,5
9,1,5
8,1,5
7,1,5
5,1,5
6,1,5
4,1,5
5,1,5
6,1,5
7,1,5
6,1,5
7,1,5
5,1,5
6,1,5
7,1,5
8,1,5
4,1,5
5,1,5
3,1,5
4,1,5
5,1,5
6,1,5
8,1,5
9,1,5
7,1,5
6,1,5
7,1,5
8,1,5
8,1,5
7,1,5
8,1,5
7,1,5
6,1,5
6,1,5
9,1,5
8,1,5
10,1,5
9,1,5
8,1,5
7,1,5
10,1,5
9,1,5
9,1,5
8,1,5
7,1,5
8,1,5
7,1,5
6,1,5
7,1,5
6,1,5
5,1,5
5,1,5
3,1,5
4,3,5
3,1,5
4,1,5
4,1,5
5,1,5
6,1,5
5,1,5
4,1,5
5,1,5
3,1,5
3,1,5
4,1,5
5,1,5
7,3,5
6,3,5
6,1,5
5,1,5
4,1,5
5,3,5
3,1,5
4,1,5
3,1,5
3,1,5
4,1,5
5,3,5
4,1,5
5,1,5
5,1,5
6,1,5
7,1,5
6,1,5
5,1,5
6,1,5
4,1,5
4,1,5
5,1,5
6,1,5
8,3,5
7,3,5
7,1,5
6,1,5
5,1,5
6,3,5
5,1,5
6,1,5
6,1,5
7,1,5
8,1,5
7,1,5
4,1,5
5,1,5
5,1,5
6,1,5
7,1,5
