|A|,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|
2,2,2,2,2
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
2,6,2,2,2
2,3,2,2,2
2,3,2,3,2
1,1,1,1,1
1,1,1,1,1
2,6,2,2,2
1,1,1,1,1
2,3,2,2,2
2,2,2,2,2
2,2,2,6,2
2,2,2,2,2
2,2,2,2,2
1,1,1,1,1
1,1,1,1,1
2,6,2,2,2
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
2,2,2,3,2
2,3,2,3,2
1,1,1,1,1
2,3,2,2,2
2,2,2,2,2
2,3,2,2,2
2,3,2,3,2
1,1,1,1,1
1,1,1,1,1
2,3,2,3,2
1,1,1,1,1
2,3,2,3,2
1,1,1,1,1
2,2,2,2,2
2,3,2,3,2
1,1,1,1,1
2,6,2,3,2
1,1,1,1,1
1,1,1,1,1
2,3,2,3,2
2,6,2,6,2
1,1,1,1,1
2,6,2,6,2
2,3,2,2,2
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
2,3,2,2,2
2,3,2,6,2
2,3,2,3,2
2,3,2,3,2
1,1,1,1,1
1,1,1,1,1
2,3,2,3,2
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
2,2,2,6,2
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
