n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
10,16,53,0,16,37,0,16,0,0,2
10,60,50,0,60,63,0,60,0,0,0
10,12,54,0,12,53,0,12,0,0,0
10,4,47,0,4,53,0,4,0,0,0
10,4,58,0,4,39,1,4,0,0,0
10,30,58,0,30,47,0,30,0,0,0
10,6,46,0,6,57,0,6,0,0,0
10,59,59,0,59,57,0,59,0,0,0
10,176,62,0,176,60,1,176,0,0,0
10,15,60,0,15,62,0,15,0,0,0
10,28,56,0,28,60,0,28,0,0,6
10,10,48,0,10,50,1,10,0,0,0
10,74,59,0,74,54,0,74,0,0,10
10,104,58,0,104,56,0,104,0,0,0
10,21,61,0,21,48,0,21,0,0,0
10,2,51,0,2,49,1,2,0,0,0
10,18,52,0,18,50,0,18,0,0,6
10,156,51,0,156,59,0,156,0,0,0
10,54,56,0,54,59,0,54,0,0,0
10,91,58,0,91,58,0,91,0,0,0
10,57,57,0,57,50,0,57,0,0,0
10,20,58,0,20,51,0,20,0,0,0
10,6,34,0,6,62,1,6,0,0,0
10,7,60,0,7,53,0,7,0,0,0
10,9,61,0,9,51,0,9,0,0,0
10,170,63,0,170,61,0,170,0,0,12
10,8,60,0,8,51,0,8,0,0,0
10,9,47,0,9,53,0,9,0,0,0
10,14,56,0,14,58,0,14,0,0,0
10,60,61,0,60,62,0,60,0,0,0
10,312,58,0,312,52,0,312,0,0,0
10,20,59,0,20,53,1,20,0,0,8
10,28,66,0,28,61,0,28,0,0,0
10,15,66,0,15,41,0,15,0,0,3
10,3,53,0,3,55,0,3,0,0,0
10,6,55,0,6,50,0,6,0,0,0
10,6,60,0,6,56,0,6,0,0,0
10,2,55,0,2,46,0,2,0,0,0
10,24,55,0,24,60,0,24,0,0,0
10,246,59,0,246,63,0,246,0,0,0
10,108,64,0,108,50,0,108,0,0,3
10,14,44,0,14,62,0,14,1,0,0
10,33,69,0,33,55,0,33,0,0,12
10,20,43,0,20,53,0,20,0,0,0
10,8,61,0,8,48,0,8,0,0,0
10,43,49,0,43,53,0,43,0,0,0
10,7,47,0,7,48,0,7,0,0,0
10,109,64,0,109,58,0,109,0,0,0
10,24,47,0,24,59,1,24,0,0,0
10,160,55,0,160,49,0,160,0,0,0
10,19,47,0,19,57,0,19,0,0,0
10,11,52,0,11,50,0,11,0,0,0
10,4,66,0,4,48,0,4,0,0,2
10,32,56,0,32,41,0,32,0,0,4
10,94,50,0,94,61,0,94,0,0,2
10,9,53,0,9,64,1,9,0,0,0
10,4,56,0,4,57,0,4,0,0,0
10,75,58,0,75,71,1,75,0,0,0
10,5,47,0,5,49,0,5,0,0,0
10,8,49,0,8,57,1,8,0,0,0
10,28,63,0,28,53,0,28,0,0,0
10,287,75,0,287,47,0,287,0,1,28
10,16,51,0,16,51,0,16,0,0,0
10,126,60,0,126,57,0,126,0,0,0
10,19,58,0,19,58,0,19,0,0,0
10,84,50,0,84,56,0,84,0,0,0
10,114,57,0,114,52,0,114,0,0,0
10,40,61,0,40,68,1,40,0,0,0
10,3,43,0,3,61,0,3,0,0,0
10,3,45,0,3,47,0,3,0,0,0
10,2,60,0,2,56,0,2,0,0,0
10,33,70,0,33,53,0,33,0,0,0
10,3,47,0,3,50,0,3,0,0,0
