For a permutation of length 4

[1, 2, 3, 4], [1, 2, 4, 3], [1, 3, 2, 4];[[1, 2, 3, 4]];2
[1, 2, 3, 4], [1, 2, 4, 3], [1, 3, 4, 2];[[1, 2, 3, 4]];3
[1, 2, 3, 4], [1, 2, 4, 3], [1, 4, 2, 3];[[1, 2, 4, 3]];2
[1, 2, 3, 4], [1, 2, 4, 3], [1, 4, 3, 2];[[1, 2, 4, 3]];3
[1, 2, 3, 4], [1, 2, 4, 3], [2, 1, 3, 4];[[1, 2, 3, 4]];2
[1, 2, 3, 4], [1, 2, 4, 3], [2, 1, 4, 3];[[1, 2, 4, 3]];2
[1, 2, 3, 4], [1, 2, 4, 3], [2, 3, 1, 4];[[1, 2, 3, 4]];3
[1, 2, 3, 4], [1, 2, 4, 3], [2, 3, 4, 1];[[1, 2, 3, 4]];4
[1, 2, 3, 4], [1, 2, 4, 3], [2, 4, 1, 3];[[1, 2, 4, 3]];3
[1, 2, 3, 4], [1, 2, 4, 3], [2, 4, 3, 1];[[1, 2, 4, 3]];4
[1, 2, 3, 4], [1, 2, 4, 3], [3, 1, 2, 4];[[1, 2, 3, 4]];3
[1, 2, 3, 4], [1, 2, 4, 3], [3, 1, 4, 2];[[1, 2, 3, 4]];4
[1, 2, 3, 4], [1, 2, 4, 3], [3, 2, 1, 4];[[1, 2, 3, 4]];4
[1, 2, 3, 4], [1, 2, 4, 3], [3, 2, 4, 1];[[1, 2, 3, 4]];5
[1, 2, 3, 4], [1, 2, 4, 3], [3, 4, 1, 2];[[1, 2, 3, 4]];5
[1, 2, 3, 4], [1, 2, 4, 3], [3, 4, 2, 1];[[1, 2, 3, 4]];6
[1, 2, 3, 4], [1, 2, 4, 3], [4, 1, 2, 3];[[1, 2, 4, 3]];3
[1, 2, 3, 4], [1, 2, 4, 3], [4, 1, 3, 2];[[1, 2, 4, 3]];4
[1, 2, 3, 4], [1, 2, 4, 3], [4, 2, 1, 3];[[1, 2, 4, 3]];4
[1, 2, 3, 4], [1, 2, 4, 3], [4, 2, 3, 1];[[1, 2, 4, 3]];5
[1, 2, 3, 4], [1, 2, 4, 3], [4, 3, 1, 2];[[1, 2, 4, 3]];5
[1, 2, 3, 4], [1, 2, 4, 3], [4, 3, 2, 1];[[1, 2, 4, 3]];6
[1, 2, 3, 4], [1, 3, 2, 4], [1, 3, 4, 2];[[1, 3, 2, 4]];2
[1, 2, 3, 4], [1, 3, 2, 4], [1, 4, 2, 3];[[1, 2, 3, 4]];3
[1, 2, 3, 4], [1, 3, 2, 4], [1, 4, 3, 2];[[1, 3, 2, 4]];3
[1, 2, 3, 4], [1, 3, 2, 4], [2, 1, 3, 4];[[1, 2, 3, 4]];2
[1, 2, 3, 4], [1, 3, 2, 4], [2, 1, 4, 3];[[1, 2, 3, 4]];3
[1, 2, 3, 4], [1, 3, 2, 4], [2, 3, 1, 4];[[1, 2, 3, 4]];3
[1, 2, 3, 4], [1, 3, 2, 4], [2, 3, 4, 1];[[1, 2, 3, 4]];4
[1, 2, 3, 4], [1, 3, 2, 4], [2, 4, 1, 3];[[1, 2, 3, 4]];4
[1, 2, 3, 4], [1, 3, 2, 4], [2, 4, 3, 1];[[1, 2, 3, 4]];5
[1, 2, 3, 4], [1, 3, 2, 4], [3, 1, 2, 4];[[1, 3, 2, 4]];2
