n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
10,46,0,46,0,46,0,0,0
10,8,0,8,0,8,0,0,0
10,150,0,150,0,150,0,0,0
10,20,0,20,0,20,0,0,0
10,15,0,15,0,15,0,0,0
10,3,0,3,1,3,0,0,0
10,105,0,105,0,105,0,0,0
10,9,0,9,0,9,0,0,0
10,14,0,14,0,14,0,0,0
10,12,0,12,0,12,0,0,0
10,36,0,36,0,36,0,0,0
10,270,0,270,0,270,0,0,0
10,390,0,390,0,390,0,1,0
10,120,0,120,0,120,0,0,0
10,66,0,66,0,66,0,0,0
10,63,0,63,0,63,0,0,0
10,20,0,20,0,20,1,0,0
10,30,0,30,0,30,0,0,0
10,87,0,87,0,87,0,0,1
10,36,0,36,0,36,0,0,1
10,66,0,66,0,66,0,0,0
10,98,0,98,0,98,0,0,0
10,3,0,3,0,3,0,0,0
10,5,0,5,0,5,0,0,0
10,8,0,8,0,8,1,0,0
10,110,0,110,0,110,0,0,0
10,9,0,9,0,9,0,0,0
10,66,0,66,0,66,0,0,0
10,13,0,13,0,13,0,0,0
10,49,0,49,0,49,0,0,0
10,90,0,90,1,90,0,0,0
10,6,0,6,0,6,0,0,0
10,72,0,72,0,72,0,0,0
10,3,0,3,0,3,0,0,0
10,45,0,45,0,45,0,0,0
10,28,0,28,0,28,0,0,0
10,79,0,79,0,79,0,0,0
10,68,0,68,0,68,0,0,0
10,24,0,24,0,24,0,0,0
10,19,0,19,0,19,0,0,0
10,109,0,109,0,109,0,0,0
10,33,0,33,0,33,0,0,0
10,71,0,71,0,71,0,0,0
10,3,0,3,0,3,0,0,0
10,162,0,162,0,162,0,0,0
10,2,0,2,0,2,0,0,0
10,20,0,20,0,20,0,0,0
10,14,0,14,0,14,0,1,1
10,9,0,9,0,9,0,0,0
10,30,0,30,0,30,0,0,0
10,314,0,314,0,314,0,0,0
10,22,0,22,0,22,0,0,0
10,90,0,90,0,90,0,0,0
10,132,0,132,0,132,0,0,0
10,28,0,28,0,28,0,0,0
10,36,0,36,0,36,0,0,0
10,18,0,18,0,18,0,0,0
10,24,0,24,0,24,0,0,0
10,270,0,270,0,270,0,0,0
10,3,0,3,0,3,0,0,0
10,39,0,39,0,39,0,0,0
10,20,0,20,0,20,0,0,0
10,3,0,3,0,3,0,0,0
10,60,0,60,0,60,0,0,1
10,12,0,12,0,12,0,0,0
10,21,0,21,0,21,0,0,0
10,38,0,38,0,38,0,0,0
10,261,0,261,0,261,0,1,1
10,29,0,29,0,29,0,0,0
10,12,0,12,0,12,0,0,0
10,945,0,945,0,945,0,0,0
10,3,0,3,0,3,0,0,0
10,45,0,45,0,45,0,0,0
10,48,0,48,0,48,0,0,1
10,60,0,60,0,60,0,0,0
10,54,0,54,0,54,0,0,0
10,7,0,7,0,7,0,0,0
10,40,0,40,0,40,0,0,0
10,33,0,33,0,33,0,0,0
10,148,0,148,0,148,1,0,0
10,2,0,2,0,2,0,0,0
10,8,0,8,0,8,0,0,0
10,47,0,47,0,47,0,0,0
10,48,0,48,0,48,0,0,0
10,148,0,148,0,148,0,0,0
10,14,0,14,0,14,0,0,0
10,60,0,60,0,60,0,0,0
10,244,0,244,0,244,0,0,0
10,4,0,4,0,4,0,0,0
10,23,0,23,0,23,0,0,0
10,14,0,14,0,14,0,0,0
10,54,0,54,0,54,0,0,0
10,8,0,8,0,8,0,0,0
10,517,0,517,0,517,0,0,0
10,50,0,50,0,50,0,0,0
10,223,0,223,0,223,0,0,0
10,153,0,153,0,153,0,0,0
10,44,0,44,0,44,0,0,0
10,23,0,23,0,23,0,0,0
10,38,0,38,0,38,0,0,0
