n,|A|,|B|,|AB|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
4,3,2,2,1,4,1,8,4,2,1,4,1,0,1
4,3,2,0,1,2,1,6,3,2,1,8,1,0,0
4,3,2,0,3,6,2,4,3,2,1,10,0,1,1
4,3,2,0,3,6,2,5,3,2,1,11,1,0,1
4,3,2,0,1,4,1,6,4,2,3,12,1,0,1
4,3,2,0,1,5,1,8,4,2,1,12,0,1,1
4,3,2,0,3,6,2,2,1,2,1,11,1,0,0
4,3,2,0,1,5,1,8,4,2,3,13,2,0,2
4,3,2,0,1,3,1,4,3,2,1,11,0,0,0
4,3,2,1,1,4,1,5,3,2,2,6,1,0,2
4,3,2,0,1,2,1,6,3,2,1,9,1,0,1
4,3,2,0,1,4,1,6,3,2,1,7,1,0,1
4,3,2,0,1,7,1,12,5,2,1,13,0,0,1
4,3,2,0,1,5,1,3,2,2,3,11,0,2,2
4,3,2,1,1,4,1,8,4,2,3,8,2,1,3
4,3,2,0,1,5,1,8,4,2,1,9,1,0,1
4,3,2,0,1,3,1,2,1,2,1,6,0,1,1
4,3,2,0,1,5,0,4,2,2,1,8,0,1,1
4,3,2,1,1,3,1,4,3,2,2,6,2,1,2
4,3,2,0,1,6,0,3,2,2,1,10,0,1,1
4,3,2,0,1,5,1,3,2,2,1,8,0,1,1
4,3,2,0,3,4,3,3,2,2,2,12,2,0,2
4,3,2,1,1,5,1,8,4,2,3,9,1,1,3
4,3,2,0,1,3,0,3,2,2,1,5,0,1,1
4,3,2,0,1,4,0,3,2,2,1,9,0,0,0
4,3,2,0,1,3,1,3,2,2,1,9,1,0,1
4,3,2,0,1,3,1,5,3,2,3,12,2,0,1
4,3,2,0,3,6,2,2,1,2,2,12,0,1,1
4,3,2,0,1,4,0,8,4,2,1,11,1,0,0
4,3,2,0,1,3,1,3,2,2,1,6,0,1,1
4,3,2,1,1,6,0,2,1,2,1,6,0,1,1
4,3,2,0,1,4,0,12,5,2,1,10,1,0,1
4,3,2,0,1,2,1,2,1,2,1,8,1,0,0
4,3,2,0,1,4,1,2,1,2,1,9,1,0,0
4,3,2,0,1,4,1,8,4,2,1,8,1,0,1
4,3,2,1,1,5,1,6,3,2,12,11,3,1,4
4,3,2,0,1,3,1,3,2,2,1,12,1,0,0
4,3,2,0,1,2,1,8,4,2,1,9,1,0,0
4,3,2,0,3,7,2,12,5,2,2,12,1,1,2
4,3,2,0,1,4,1,12,5,2,1,9,1,0,1
4,3,2,0,1,4,1,3,2,2,1,7,0,1,1
4,3,2,0,1,4,1,12,5,2,1,11,1,0,1
4,3,2,1,1,3,1,6,3,2,1,5,1,0,1
4,3,2,0,1,4,0,6,4,2,1,11,1,0,0
4,3,2,0,1,4,1,5,3,2,1,8,1,0,1
4,3,2,1,1,4,1,8,4,2,4,8,2,1,4
4,3,2,1,1,4,1,8,4,2,3,8,2,1,3
4,3,2,0,1,5,1,8,4,2,1,11,0,0,1
4,3,2,0,1,7,1,8,4,2,1,12,0,1,1
4,3,2,0,1,4,1,4,3,2,1,8,0,1,1
4,3,2,1,3,7,1,2,1,2,5,9,2,2,4
4,3,2,0,1,4,1,5,3,2,1,9,0,0,1
4,3,2,0,1,4,1,5,3,2,1,7,1,0,1
4,3,2,0,3,7,0,6,3,2,1,10,0,0,1
4,3,2,0,1,5,1,2,1,2,1,9,0,1,1
4,3,2,0,1,2,1,6,3,2,1,10,1,0,0
4,3,2,0,1,2,1,12,5,2,1,9,1,0,1
4,3,2,0,1,5,1,6,3,2,1,9,0,0,1
4,3,2,0,1,4,1,3,2,2,2,10,1,1,2
4,3,2,0,1,4,1,2,1,2,3,10,1,1,1
4,3,2,0,1,7,1,2,1,2,1,10,0,1,1
4,3,2,0,1,5,1,4,2,2,1,12,0,0,0
4,3,2,0,3,7,2,12,5,2,1,13,0,0,1
4,3,2,0,1,5,1,3,2,2,3,12,0,0,1
4,3,2,0,3,5,2,2,1,2,1,8,1,0,1
4,3,2,0,1,5,1,4,3,2,1,10,0,1,1
4,3,2,0,1,4,1,2,1,2,1,7,0,1,1
4,3,2,0,1,5,0,6,4,2,1,12,0,0,0
4,3,2,0,3,5,2,2,1,2,1,7,0,1,1
4,3,2,0,1,5,1,2,1,2,1,8,0,1,1
4,3,2,0,1,3,1,8,4,2,1,10,0,0,0
4,3,2,1,3,5,2,2,1,2,3,6,1,2,3
4,3,2,1,3,7,1,4,3,2,4,10,1,1,2
4,3,2,0,1,4,1,6,3,2,1,13,1,0,1
4,3,2,1,1,4,1,8,4,2,3,7,1,0,3
4,3,2,0,1,4,1,12,5,2,1,9,1,0,1
4,3,2,0,1,4,1,6,3,2,1,10,0,0,0
4,3,2,1,1,3,1,2,1,2,1,4,1,1,1
4,3,2,0,3,6,2,8,4,2,1,10,0,0,1
4,3,2,0,1,3,1,4,3,2,1,10,1,0,1
4,3,2,0,1,4,0,6,4,2,1,10,0,1,1
4,3,2,2,1,3,1,2,1,2,1,3,1,1,1
4,3,2,0,3,6,2,4,2,2,1,8,1,0,1
4,3,2,0,3,7,0,8,4,2,1,11,0,0,1
4,3,2,0,1,5,0,5,3,2,1,10,0,1,1
4,3,2,0,1,5,1,3,2,2,1,11,0,0,0
4,3,2,0,1,5,1,12,5,2,1,10,1,0,1
4,3,2,0,1,5,0,6,4,2,1,12,0,0,0
4,3,2,0,1,6,1,6,4,2,1,12,1,0,1
4,3,2,0,1,2,1,12,5,2,1,7,1,0,1
4,3,2,0,1,6,0,3,2,2,1,11,0,0,1
4,3,2,0,1,4,1,3,2,2,1,10,0,0,0
4,3,2,1,1,6,0,4,3,2,6,10,1,1,2
4,3,2,0,1,5,1,3,2,2,1,12,0,0,0
