n,|M(A)|,D_ktA,|M(A)A|
11,1,174,0
11,4,161,0
11,3,179,0
11,1,179,0
11,1,200,0
11,2,185,0
11,1,194,0
11,3,188,0
11,3,198,0
11,1,161,0
11,2,177,0
11,2,181,0
11,4,183,0
11,1,181,0
11,3,168,0
11,2,188,0
11,3,174,0
11,2,189,0
11,1,118,0
11,1,143,0
11,1,198,0
11,2,164,0
11,1,161,0
11,1,163,0
11,1,179,0
11,3,155,0
11,1,163,0
11,30,205,0
11,3,177,0
11,7,183,0
11,1,179,0
11,4,175,0
11,1,166,0
11,6,179,0
11,6,188,0
11,3,182,0
11,1,184,0
11,1,175,0
11,5,193,0
11,1,165,0
11,1,180,0
11,1,160,0
11,3,173,0
11,5,191,0
11,4,208,0
11,4,162,0
11,4,157,0
11,1,177,0
11,2,192,0
11,3,191,0
11,9,172,0
11,1,178,0
11,1,151,0
11,3,170,0
11,1,166,0
11,5,198,0
11,3,177,0
11,6,175,0
11,2,180,0
11,2,175,0
11,1,172,0
11,2,183,0
11,4,199,0
11,2,172,0
11,4,197,0
11,1,180,0
11,4,193,0
11,6,166,0
11,1,188,0
11,2,172,0
11,2,169,0
11,1,179,0
11,3,166,0
11,2,191,0
11,1,205,0
11,2,174,0
11,1,179,0
11,1,150,0
11,1,190,0
11,6,175,0
11,11,184,0
11,1,157,0
11,1,192,0
11,1,172,0
11,9,200,0
11,1,173,0
11,1,163,0
11,1,174,0
11,5,171,0
11,4,176,0
11,1,182,0
11,3,176,0
11,9,186,0
11,1,171,0
11,5,183,0
11,1,169,0
11,4,182,0
11,2,145,0
11,6,160,0
11,2,174,0
