n,|M(A)|,D_ktA,|M(A)A|
13,1,65,0
13,1,54,0
13,1,51,0
13,3,59,0
13,3,43,0
13,1,50,0
13,3,61,0
13,3,55,0
13,13,67,0
13,3,50,0
13,1,63,0
13,4,65,0
13,3,49,0
13,6,66,1
13,4,69,0
13,1,54,0
13,5,70,0
13,5,70,0
13,1,50,0
13,1,60,0
13,3,65,0
13,1,46,0
13,1,56,0
13,15,64,0
13,1,46,0
13,3,70,0
13,2,42,0
13,1,38,0
13,1,64,0
13,3,73,0
13,1,58,0
13,1,43,0
13,3,39,0
13,4,60,0
13,1,59,0
13,2,59,0
13,3,47,0
13,15,59,0
13,2,59,0
13,6,63,0
13,4,38,0
13,3,81,0
13,22,65,0
13,3,68,0
13,1,52,0
13,21,59,0
13,1,68,0
13,1,50,0
13,3,51,0
13,5,66,0
13,3,44,0
13,1,58,0
13,10,66,0
13,2,56,0
13,1,46,0
13,3,59,0
13,2,54,0
13,5,56,0
13,9,86,0
13,1,37,0
13,3,46,0
13,2,67,0
13,3,51,0
13,15,52,0
13,4,73,0
13,5,47,0
13,1,47,0
13,1,68,0
13,3,49,0
13,1,54,0
13,1,64,0
13,8,66,0
13,9,63,0
13,4,77,0
13,3,57,0
13,3,50,0
13,1,62,0
13,5,68,0
13,1,54,0
13,3,50,0
13,1,65,0
13,2,56,0
13,12,67,0
13,2,63,0
13,5,66,0
13,1,45,0
13,9,60,0
13,1,59,0
13,3,58,0
13,4,65,0
13,1,75,0
13,1,40,0
13,7,77,0
13,3,21,0
13,1,58,0
13,5,54,0
13,3,62,0
13,5,47,0
13,1,67,0
13,13,65,0
