n,|M(A)|,D_ktA,|M(A)A|
12,2,157,0
12,3,155,0
12,7,164,0
12,3,167,0
12,2,144,0
12,2,180,0
12,6,144,0
12,2,131,0
12,3,133,1
12,6,144,0
12,1,137,0
12,1,143,0
12,2,127,0
12,3,129,0
12,2,129,0
12,2,146,0
12,2,123,0
12,2,155,0
12,1,184,0
12,1,136,0
12,3,169,0
12,6,170,0
12,1,108,0
12,1,151,0
12,1,151,0
12,13,152,0
12,2,142,0
12,4,164,0
12,7,144,0
12,2,153,0
12,4,157,0
12,8,155,0
12,1,148,0
12,6,160,0
12,3,126,0
12,1,155,0
12,1,172,0
12,1,162,0
12,1,105,0
12,1,151,0
12,3,167,0
12,5,160,0
12,1,131,0
12,3,156,0
12,10,157,0
12,2,134,0
12,3,148,0
12,2,148,0
12,9,142,0
12,3,146,0
12,2,119,0
12,5,153,1
12,1,169,0
12,3,138,0
12,12,152,0
12,6,140,0
12,1,161,0
12,6,152,0
12,6,163,0
12,1,148,0
12,15,148,0
12,4,145,0
12,3,141,0
12,4,161,0
12,1,145,0
12,2,132,0
12,1,151,0
12,1,130,0
12,1,147,0
12,3,130,0
12,1,123,0
12,5,149,0
12,1,148,0
12,16,192,0
12,2,161,0
12,3,167,0
12,6,149,0
12,5,162,0
12,2,143,0
12,1,152,0
12,3,137,0
12,13,146,0
12,1,159,0
12,6,161,0
12,2,129,0
12,21,151,0
12,3,182,0
12,1,135,0
12,2,184,0
12,3,171,0
12,2,146,0
12,2,166,0
12,8,157,0
12,1,146,0
12,1,159,0
12,1,148,0
12,4,155,0
12,2,117,0
12,1,173,0
12,5,154,0
