n,|M(A)|,D_ktA,|M(A)A|
13,1,237,0
13,3,233,0
13,1,230,0
13,2,240,0
13,1,217,0
13,1,280,0
13,1,246,0
13,2,248,0
13,1,210,0
13,9,229,0
13,1,208,0
13,3,231,0
13,4,241,0
13,1,240,0
13,2,226,0
13,1,270,0
13,2,242,0
13,1,195,0
13,6,267,0
13,1,212,0
13,3,251,0
13,4,221,0
13,3,278,0
13,3,258,0
13,1,236,0
13,3,271,0
13,1,219,0
13,3,251,0
13,2,254,0
13,3,218,0
13,6,255,0
13,1,204,0
13,3,229,0
13,2,212,0
13,1,192,0
13,6,245,0
13,6,247,0
13,1,240,0
13,2,257,0
13,1,202,0
13,1,234,0
13,3,226,0
13,9,246,0
13,1,233,0
13,2,239,0
13,6,204,0
13,3,224,0
13,1,275,0
13,1,209,0
13,3,217,0
13,12,247,0
13,1,256,0
13,3,241,0
13,2,242,0
13,4,243,0
13,1,235,0
13,1,219,0
13,2,246,0
13,1,244,0
13,5,221,0
13,2,231,0
13,1,228,0
13,1,259,0
13,3,227,0
13,1,238,0
13,2,233,0
13,2,228,0
13,5,233,0
13,2,182,0
13,4,266,0
13,6,225,0
13,3,235,0
13,2,249,0
13,1,236,0
13,2,242,0
13,1,238,0
13,4,215,0
13,1,237,0
13,1,234,0
13,1,258,0
13,6,220,0
13,6,214,0
13,3,227,0
13,4,263,0
13,2,255,0
13,5,229,0
13,1,263,0
13,3,233,0
13,4,259,0
13,1,186,0
13,1,245,0
13,12,251,0
13,1,194,0
13,7,276,0
13,3,274,0
13,1,196,0
13,1,260,0
13,5,266,0
13,2,230,0
13,1,212,0
