n,|M(A)|,D_ktA,|M(A)A|
10,6,157,0
10,7,171,0
10,15,160,0
10,3,154,0
10,3,161,0
10,460,195,0
10,5,177,0
10,8,157,0
10,6,186,0
10,6,156,0
10,24,154,0
10,14,157,0
10,10,168,0
10,26,163,0
10,12,189,0
10,12,185,0
10,15,161,0
10,10,160,0
10,36,165,0
10,12,153,0
10,57,176,0
10,12,171,0
10,4,169,0
10,37,177,0
10,9,167,0
10,32,164,0
10,2,175,0
10,1,174,0
10,24,167,0
10,6,177,0
10,60,188,0
10,2,147,0
10,10,169,0
10,9,157,0
10,4,136,0
10,12,143,0
10,24,166,0
10,28,164,0
10,3,179,0
10,24,169,0
10,12,150,0
10,56,152,0
10,6,143,0
10,14,159,0
10,182,181,0
10,4,175,0
10,5,161,0
10,12,184,0
10,17,165,0
10,30,176,0
10,4,169,0
10,6,150,0
10,21,158,0
10,25,149,0
10,3,171,0
10,28,177,0
10,12,189,0
10,12,171,0
10,196,184,0
10,6,184,0
10,4,166,0
10,75,172,0
10,3,158,0
10,42,185,0
10,20,156,1
10,20,180,0
10,9,145,0
10,36,163,0
10,11,170,0
10,21,166,0
10,4,179,0
10,3,174,0
10,38,160,0
10,34,182,0
10,8,175,0
10,2,171,0
10,8,173,0
10,2,148,0
10,72,155,0
10,3,153,0
10,15,146,0
10,5,159,0
10,2,156,0
10,28,173,0
10,151,198,0
10,58,191,0
10,12,162,0
10,6,154,0
10,2,165,0
10,12,170,0
10,7,164,0
10,64,177,0
10,20,154,0
10,46,167,0
10,6,165,0
10,110,177,0
10,48,181,0
10,5,184,0
10,4,148,0
10,9,183,0
