n,|M(A)|,D_ktA,|M(A)A|
11,144,206,0
11,8,191,0
11,29,201,0
11,3,196,0
11,30,199,0
11,20,189,0
11,18,197,0
11,2,205,0
11,8,193,0
11,150,219,0
11,1,196,0
11,12,175,0
11,2,181,0
11,16,172,0
11,1,226,0
11,4,231,0
11,80,197,0
11,72,217,0
11,58,202,0
11,12,173,0
11,115,214,0
11,28,202,0
11,3,207,0
11,54,187,0
11,20,188,0
11,84,198,0
11,2,202,0
11,118,192,0
11,44,203,0
11,9,210,0
11,6,215,0
11,7,191,0
11,35,178,0
11,50,208,0
11,8,201,0
11,1,186,0
11,50,197,0
11,11,164,0
11,27,190,0
11,234,196,0
11,24,190,0
11,10,181,1
11,36,221,0
11,68,188,0
11,29,203,0
11,3,209,0
11,36,212,0
11,545,215,0
11,117,216,0
11,4,198,0
11,252,204,0
11,49,199,0
11,6,209,0
11,10,191,0
11,26,203,0
11,25,185,0
11,11,212,0
11,46,222,0
11,10,204,0
11,4,213,0
11,28,179,0
11,76,202,0
11,52,208,0
11,54,187,0
11,14,209,0
11,25,197,0
11,39,206,0
11,16,191,0
11,1,173,0
11,1,208,0
11,200,215,0
11,79,211,0
11,9,192,0
11,65,215,0
11,12,168,0
11,56,228,0
11,24,180,0
11,138,196,0
11,9,188,0
11,28,196,0
11,16,186,0
11,29,202,0
11,2,178,0
11,42,177,0
11,16,218,0
11,7,199,0
11,94,235,0
11,40,187,0
11,3,206,0
11,15,194,0
11,14,228,0
11,12,171,0
11,38,215,0
11,1,222,0
11,131,229,0
11,47,176,0
11,6,181,0
11,120,187,0
11,100,192,0
11,4,202,0
