n,|M(A)|,D_ktA,|M(A)A|
13,5,143,0
13,4,124,0
13,2,119,0
13,1,92,0
13,45,120,0
13,1,110,0
13,1,141,0
13,3,114,0
13,5,119,0
13,3,141,0
13,3,107,0
13,3,129,0
13,1,108,0
13,5,102,0
13,8,117,0
13,6,120,0
13,5,122,0
13,1,115,0
13,3,135,0
13,2,97,0
13,2,94,0
13,9,120,0
13,4,125,0
13,1,91,0
13,3,133,0
13,2,108,0
13,1,105,0
13,1,126,0
13,5,115,0
13,3,119,0
13,1,135,0
13,1,90,0
13,9,137,0
13,2,128,0
13,1,114,0
13,5,106,0
13,2,128,0
13,6,146,0
13,15,115,0
13,8,120,0
13,2,118,0
13,1,112,0
13,2,115,0
13,1,126,0
13,3,100,0
13,4,110,0
13,1,105,0
13,1,106,0
13,3,127,0
13,7,96,0
13,4,112,0
13,1,125,0
13,13,113,0
13,2,137,0
13,6,95,0
13,1,133,0
13,5,124,0
13,7,124,0
13,3,135,0
13,18,119,0
13,5,107,0
13,9,94,0
13,3,117,0
13,10,114,0
13,2,134,0
13,3,112,0
13,3,108,0
13,2,119,0
13,3,123,0
13,1,107,0
13,4,108,0
13,1,90,0
13,21,123,0
13,1,143,0
13,2,120,0
13,6,131,0
13,4,104,0
13,5,96,0
13,5,88,0
13,2,133,0
13,6,107,0
13,1,107,0
13,5,118,0
13,1,100,0
13,3,99,0
13,6,126,0
13,3,123,0
13,6,110,0
13,1,113,0
13,1,117,0
13,1,100,0
13,1,108,0
13,14,128,0
13,1,85,0
13,13,137,0
13,1,117,0
13,10,124,0
13,5,103,0
13,3,123,0
13,1,102,0
