n,|M(A)|,D_ktA,|M(A)A|
11,21,157,0
11,27,168,0
11,2,145,0
11,4,144,0
11,21,145,0
11,14,137,0
11,12,145,0
11,6,153,0
11,168,161,0
11,11,147,0
11,20,155,0
11,4,153,0
11,216,133,0
11,12,155,0
11,228,175,1
11,30,169,0
11,34,149,0
11,6,152,0
11,6,151,0
11,234,170,0
11,128,158,0
11,76,146,0
11,55,150,0
11,5,153,0
11,20,151,0
11,30,157,0
11,18,151,0
11,240,179,0
11,180,156,0
11,99,171,0
11,66,139,0
11,17,142,0
11,21,164,0
11,168,157,0
11,25,152,0
11,456,160,0
11,2,112,0
11,2,114,0
11,1165,168,0
11,1,148,0
11,4,146,0
11,4,125,0
11,140,169,0
11,32,142,0
11,95,152,0
11,66,140,0
11,252,152,1
11,225,160,0
11,42,161,1
11,39,158,0
11,31,167,0
11,6,153,0
11,3,137,0
11,482,170,0
11,30,157,0
11,18,154,0
11,3,155,0
11,120,154,0
11,10,163,0
11,66,142,0
11,56,172,0
11,2,152,0
11,136,179,0
11,15,165,0
11,15,155,0
11,36,178,0
11,8,142,0
11,54,138,0
11,4,144,0
11,14,162,0
11,24,158,0
11,90,160,0
11,40,153,0
11,2,166,0
11,29,129,0
11,480,156,0
11,4,141,0
11,158,178,0
11,24,148,0
11,16,138,0
11,6,166,0
11,32,159,0
11,8,164,0
11,894,160,0
11,16,162,0
11,81,169,0
11,2,167,0
11,30,159,0
11,51,142,0
11,34,160,0
11,483,166,0
11,330,155,0
11,40,160,0
11,26,150,0
11,61,146,0
11,481,173,0
11,188,142,0
11,8,171,0
11,7,143,0
11,6,157,0
