n,|M(A)|,D_ktA,|M(A)A|
14,9,191,0
14,1,152,0
14,1,130,0
14,1,235,0
14,2,184,0
14,2,202,0
14,2,193,0
14,1,188,0
14,4,191,0
14,5,181,0
14,6,188,0
14,4,154,0
14,2,181,0
14,3,149,0
14,3,201,0
14,11,223,0
14,10,189,0
14,1,160,0
14,24,248,0
14,3,178,0
14,6,195,0
14,3,202,0
14,1,200,0
14,1,164,0
14,1,187,0
14,3,172,0
14,1,188,0
14,3,161,0
14,1,178,0
14,1,177,0
14,3,201,0
14,2,185,0
14,2,181,0
14,1,197,0
14,1,212,0
14,1,194,0
14,3,176,0
14,1,196,0
14,1,171,0
14,2,225,0
14,9,226,0
14,1,184,0
14,2,171,0
14,2,222,0
14,1,190,0
14,12,201,0
14,3,194,0
14,1,208,0
14,1,172,0
14,4,208,0
14,6,205,0
14,1,161,0
14,1,196,0
14,1,187,0
14,4,199,0
14,3,207,0
14,5,233,0
14,1,195,0
14,2,197,0
14,5,199,0
14,1,175,0
14,4,230,0
14,2,171,0
14,4,235,0
14,6,191,0
14,3,208,0
14,3,197,0
14,1,191,0
14,1,210,0
14,1,188,0
14,1,184,0
14,2,208,0
14,2,208,0
14,4,190,0
14,5,184,0
14,10,163,0
14,6,207,0
14,3,198,0
14,13,196,0
14,1,193,0
14,1,171,0
14,7,223,0
14,3,156,0
14,2,176,0
14,9,186,0
14,1,189,0
14,12,217,0
14,1,209,0
14,1,162,0
14,1,232,0
14,1,199,0
14,2,183,0
14,2,166,0
14,25,202,0
14,1,207,0
14,2,199,0
14,1,194,0
14,2,188,0
14,9,223,0
14,8,194,0
