n,|M(A)|,D_ktA,|M(A)A|
10,118,55,0
10,6,49,0
10,36,45,0
10,12,35,0
10,1407,70,0
10,16,58,0
10,80,56,0
10,52,54,0
10,18,48,0
10,360,64,1
10,24,60,0
10,153,57,0
10,30,51,1
10,1254,64,0
10,3542,76,0
10,210,53,0
10,46,68,0
10,78,65,0
10,204,42,0
10,58,54,0
10,824,69,0
10,3840,60,0
10,4,50,1
10,12,46,0
10,150,65,0
10,84,54,0
10,44,50,0
10,28,55,0
10,180,63,0
10,288,53,0
10,336,62,1
10,207,53,0
10,142,56,0
10,18,54,0
10,30,38,0
10,13,67,0
10,10,58,0
10,128,56,0
10,106,64,0
10,9,57,0
10,140,48,1
10,261,57,0
10,24,45,0
10,201,53,0
10,72,56,0
10,306,49,0
10,64,53,0
10,36,60,0
10,48,48,0
10,329,56,0
10,12,73,0
10,92,47,0
10,1924,62,0
10,1,56,0
10,1485,63,0
10,111,57,0
10,20,53,0
10,108,53,0
10,2,57,0
10,30,52,0
10,96,55,0
10,5,62,0
10,60,43,0
10,975,58,0
10,9,59,1
10,299,66,0
10,114,55,0
10,111,55,0
10,156,46,0
10,21,61,0
10,32,54,1
10,82,54,0
10,1372,63,0
10,642,58,0
10,478,65,0
10,48,71,0
10,423,61,0
10,27,48,0
10,75,48,0
10,33,45,1
10,15,52,0
10,224,50,0
10,175,45,1
10,107,62,0
10,224,63,0
10,22,64,0
10,87,43,0
10,16,35,0
10,120,56,0
10,436,47,0
10,699,60,0
10,230,57,0
10,211,66,0
10,70,65,0
10,70,54,1
10,1293,66,0
10,20,56,0
10,42,49,1
10,180,51,1
10,72,64,1
