n,|M(A)|,D_ktA,|M(A)A|
10,1,37,0
10,3,39,0
10,1,29,0
10,3,25,0
10,5,24,0
10,2,29,0
10,1,34,0
10,3,35,0
10,1,35,0
10,7,40,0
10,1,13,0
10,9,34,0
10,7,45,0
10,1,42,0
10,6,43,0
10,1,38,0
10,1,27,1
10,3,39,0
10,1,44,0
10,4,50,0
10,1,31,0
10,2,43,0
10,1,32,0
10,3,41,0
10,1,23,0
10,3,40,0
10,3,39,0
10,1,44,0
10,1,34,0
10,3,43,0
10,3,31,0
10,1,31,0
10,3,42,1
10,5,45,0
10,1,24,0
10,3,38,0
10,3,42,0
10,1,42,0
10,1,39,0
10,9,34,0
10,2,33,0
10,1,35,0
10,3,39,0
10,27,30,0
10,1,38,0
10,9,34,0
10,5,39,0
10,1,47,0
10,2,44,0
10,3,42,0
10,1,38,0
10,4,40,0
10,2,39,0
10,3,33,0
10,1,30,0
10,1,32,0
10,3,34,0
10,6,32,0
10,7,41,0
10,3,41,0
10,1,28,0
10,1,23,0
10,1,42,0
10,1,39,0
10,1,32,0
10,2,46,0
10,15,35,0
10,23,49,0
10,1,35,0
10,3,30,0
10,3,31,0
10,1,37,0
10,1,34,0
10,1,45,0
10,1,32,0
10,1,30,0
10,5,32,0
10,1,34,0
10,1,26,0
10,1,29,0
10,3,28,0
10,1,37,0
10,1,35,0
10,1,29,0
10,1,36,0
10,3,37,0
10,1,40,0
10,5,48,0
10,3,34,0
10,3,36,0
10,9,40,0
10,1,28,0
10,4,35,0
10,3,43,0
10,1,36,0
10,1,26,0
10,3,34,0
10,1,37,0
10,1,34,0
10,3,37,0
