n,|M(A)|,D_ktA,|M(A)A|
10,3,48,0
10,3,35,0
10,1,34,0
10,3,34,0
10,3,36,0
10,1,30,1
10,1,37,0
10,21,41,0
10,1,31,0
10,3,32,0
10,1,27,0
10,1,45,0
10,1,41,0
10,9,43,0
10,1,40,0
10,1,29,0
10,1,17,0
10,3,37,0
10,1,37,0
10,1,31,0
10,1,30,0
10,5,37,0
10,1,31,0
10,1,38,0
10,1,40,0
10,1,38,0
10,3,33,0
10,1,32,0
10,1,45,0
10,3,46,0
10,2,36,1
10,2,39,0
10,9,52,0
10,3,29,0
10,6,38,0
10,8,37,0
10,1,33,0
10,1,36,0
10,2,28,0
10,3,35,0
10,3,46,0
10,3,27,0
10,1,27,0
10,1,35,0
10,1,32,0
10,3,34,0
10,1,38,0
10,2,36,0
10,3,34,0
10,2,44,0
10,2,40,0
10,1,44,0
10,3,36,0
10,3,47,0
10,8,41,0
10,5,34,0
10,1,36,0
10,2,31,0
10,3,38,0
10,4,41,0
10,3,30,0
10,1,34,0
10,1,38,0
10,4,44,0
10,1,32,0
10,1,32,0
10,1,44,0
10,3,32,0
10,1,34,0
10,2,38,0
10,1,28,0
10,2,38,0
10,5,37,0
10,1,34,0
10,1,25,0
10,3,32,0
10,6,45,0
10,5,34,0
10,3,34,0
10,1,36,0
10,5,27,0
10,1,28,0
10,7,43,0
10,1,24,0
10,1,33,0
10,3,37,0
10,3,28,0
10,5,38,0
10,1,46,0
10,5,41,0
10,5,42,0
10,1,38,0
10,1,38,0
10,1,46,0
10,1,41,0
10,1,36,0
10,3,35,0
10,1,39,0
10,1,36,0
10,1,30,0
