n,|M(A)|,D_ktA,|M(A)A|
10,40,98,0
10,90,81,0
10,100,73,0
10,4,90,0
10,27,88,0
10,26,68,0
10,152,99,0
10,30,98,0
10,16,95,1
10,360,114,1
10,1350,104,0
10,112,94,0
10,13,75,0
10,12,96,0
10,30,101,0
10,39,75,0
10,120,109,0
10,48,74,0
10,56,97,0
10,389,92,0
10,112,102,1
10,337,99,0
10,17,92,0
10,27,95,0
10,22,100,0
10,30,104,0
10,6,83,0
10,68,83,0
10,12,75,0
10,3,87,0
10,2,66,0
10,28,102,0
10,3,86,0
10,4,103,0
10,12,85,0
10,78,92,0
10,116,101,0
10,320,106,0
10,4,89,0
10,10,85,0
10,4,83,0
10,4,83,0
10,10,90,0
10,158,103,0
10,5,83,0
10,23,95,0
10,8,88,0
10,380,91,0
10,12,94,0
10,20,96,0
10,268,111,0
10,12,83,0
10,72,84,0
10,5,93,0
10,18,79,0
10,36,90,0
10,20,105,0
10,6,75,0
10,45,73,0
10,5,77,0
10,46,105,0
10,99,96,0
10,4,110,0
10,156,89,0
10,17,103,0
10,400,99,0
10,98,97,0
10,9,90,0
10,594,91,0
10,139,92,0
10,1,81,0
10,588,99,0
10,114,79,0
10,2,106,0
10,1026,102,0
10,25,95,0
10,8,93,0
10,8,90,0
10,42,79,0
10,81,97,1
10,375,101,0
10,48,96,1
10,9,95,0
10,12,86,0
10,6,90,0
10,30,77,0
10,351,89,0
10,63,89,0
10,127,90,0
10,57,86,0
10,4,91,0
10,3,82,0
10,27,92,0
10,105,96,0
10,56,98,0
10,69,94,0
10,360,103,0
10,144,91,0
10,342,88,0
10,81,87,0
