n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
12,4,0,4,0,4,0,0,0,
12,8,0,8,0,8,0,0,0,
12,3,0,3,0,3,0,0,0,
12,10,0,10,0,10,0,0,0,
12,6,0,6,0,6,1,0,0,
12,42,0,42,0,42,0,1,1,
12,4,0,4,0,4,1,1,0,
12,12,0,12,0,12,0,0,0,
12,8,0,8,0,8,0,0,0,
12,2,0,2,0,2,1,0,0,
12,46,0,46,0,46,0,0,0,
12,2,0,2,0,2,0,0,0,
12,44,0,44,0,44,1,0,0,
12,6,0,6,0,6,1,0,0,
12,18,0,18,0,18,0,0,0,
12,72,0,72,0,72,0,0,0,
12,8,0,8,0,8,0,0,0,
12,4,0,4,0,4,0,0,1,
12,24,0,24,0,24,0,0,0,
12,2,0,2,0,2,0,0,0,
12,24,0,24,0,24,0,1,0,
12,2,0,2,0,2,1,0,0,
12,6,0,6,0,6,0,0,0,
12,4,0,4,0,4,0,0,0,
12,12,0,12,0,12,0,0,0,
12,42,0,42,0,42,0,0,0,
12,6,0,6,1,6,0,0,0,
12,12,0,12,0,12,0,0,0,
12,12,0,12,0,12,0,0,1,
12,18,0,18,0,18,0,0,0,
12,4,0,4,0,4,0,1,0,
12,6,0,6,0,6,0,0,0,
12,144,0,144,0,144,0,0,1,
12,60,0,60,0,60,0,0,0,
12,4,0,4,0,4,0,0,0,
12,60,0,60,0,60,1,0,0,
12,2,0,2,0,2,2,0,0,
12,12,0,12,0,12,1,0,0,
12,12,0,12,0,12,0,0,0,
12,10,0,10,0,10,0,0,0,
12,6,0,6,0,6,0,0,1,
12,6,0,6,0,6,0,0,0,
12,6,0,6,0,6,0,0,0,
12,50,0,50,0,50,0,0,0,
12,48,0,48,0,48,0,1,0,
12,12,0,12,0,12,0,1,0,
12,4,0,4,0,4,0,0,0,
12,12,0,12,0,12,0,0,0,
12,9,0,9,0,9,0,1,0,
12,4,0,4,0,4,1,0,1,
