n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
15,6,0,6,0,6,0,0,0
15,216,0,216,0,216,0,0,0
15,48,0,48,0,48,0,0,1
15,2,0,2,0,2,0,0,0
15,24,0,24,0,24,2,0,0
15,16,0,16,0,16,0,0,0
15,24,0,24,0,24,0,0,0
15,18,0,18,0,18,0,0,0
15,40,0,40,0,40,2,0,2
15,48,0,48,0,48,0,0,0
15,12,0,12,0,12,0,0,0
15,12,0,12,0,12,0,0,0
15,88,0,88,0,88,0,0,0
15,120,0,120,0,120,0,0,0
15,4,0,4,0,4,0,0,0
15,8,0,8,0,8,0,0,0
15,90,0,90,0,90,0,0,0
15,4,0,4,0,4,0,0,0
15,60,0,60,0,60,0,0,0
15,6,0,6,1,6,0,1,1
15,8,0,8,0,8,0,0,0
15,18,0,18,0,18,0,0,0
15,16,0,16,0,16,0,0,0
15,60,0,60,0,60,0,0,0
15,8,0,8,0,8,1,0,0
15,15,0,15,0,15,0,0,0
15,38,0,38,0,38,0,0,0
15,2,0,2,0,2,0,0,0
15,2,0,2,0,2,0,0,1
15,24,0,24,0,24,0,0,0
15,24,0,24,0,24,0,0,0
15,2,0,2,0,2,0,0,0
15,4,0,4,0,4,0,0,0
15,4,0,4,0,4,0,1,1
15,36,0,36,0,36,0,0,0
15,16,0,16,0,16,0,0,0
15,6,0,6,1,6,0,0,0
15,16,0,16,0,16,0,0,0
15,54,0,54,0,54,0,0,1
15,24,0,24,0,24,0,0,2
15,8,0,8,0,8,0,0,0
15,12,0,12,0,12,0,0,0
15,45,0,45,0,45,0,0,0
15,12,0,12,0,12,1,0,0
15,4,0,4,0,4,0,0,0
15,18,0,18,0,18,0,0,0
15,12,0,12,0,12,0,0,0
15,90,0,90,0,90,0,0,0
15,6,0,6,0,6,0,0,3
15,6,0,6,0,6,0,0,2
