n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
14,4,0,4,0,4,1,0,0,
14,8,0,8,0,8,0,0,1,
14,8,0,8,0,8,0,0,0,
14,54,0,54,0,54,0,0,0,
14,3,0,3,1,3,0,1,1,
14,8,0,8,0,8,0,0,0,
14,72,0,72,0,72,0,0,1,
14,12,0,12,0,12,0,0,0,
14,5,0,5,0,5,0,0,0,
14,48,0,48,0,48,0,0,0,
14,4,0,4,0,4,0,0,0,
14,4,0,4,0,4,0,0,0,
14,8,0,8,0,8,1,0,0,
14,48,0,48,0,48,0,0,0,
14,54,0,54,0,54,0,0,0,
14,40,0,40,0,40,0,0,0,
14,24,0,24,0,24,0,0,1,
14,66,0,66,0,66,0,0,0,
14,120,0,120,0,120,0,0,0,
14,18,0,18,0,18,0,0,0,
14,12,0,12,0,12,0,0,1,
14,6,0,6,0,6,0,0,0,
14,48,0,48,0,48,1,0,1,
14,6,0,6,0,6,0,0,0,
14,4,0,4,0,4,0,0,1,
14,54,0,54,0,54,0,0,0,
14,112,0,112,0,112,1,0,0,
14,30,0,30,0,30,0,0,0,
14,4,0,4,0,4,0,0,0,
14,36,0,36,0,36,0,0,0,
14,2,0,2,0,2,0,0,1,
14,8,0,8,0,8,1,0,0,
14,28,0,28,0,28,0,0,0,
14,135,0,135,0,135,0,0,1,
14,16,0,16,0,16,0,0,1,
14,6,0,6,1,6,0,1,1,
14,12,0,12,0,12,1,0,0,
14,16,0,16,0,16,0,0,0,
14,4,0,4,0,4,0,0,0,
14,32,0,32,0,32,0,0,0,
14,12,0,12,0,12,0,0,0,
14,32,0,32,0,32,0,0,0,
14,32,0,32,0,32,0,0,0,
14,2,0,2,0,2,0,1,1,
14,48,0,48,0,48,0,0,0,
14,36,0,36,0,36,0,0,0,
14,6,0,6,0,6,0,0,0,
14,12,0,12,0,12,0,0,1,
14,8,0,8,0,8,0,1,0,
14,72,0,72,0,72,0,0,0,
