n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
13,6,0,6,0,6,0,0,0,
13,36,0,36,0,36,0,0,2,
13,4,0,4,0,4,0,0,0,
13,6,0,6,0,6,0,0,0,
13,16,0,16,0,16,0,0,0,
13,4,0,4,0,4,0,0,0,
13,72,0,72,0,72,0,0,0,
13,27,0,27,0,27,1,0,0,
13,6,0,6,0,6,0,0,0,
13,3,0,3,0,3,1,0,0,
13,16,0,16,0,16,0,0,0,
13,24,0,24,0,24,0,0,1,
13,12,0,12,1,12,0,0,1,
13,4,0,4,0,4,0,0,0,
13,6,0,6,1,6,0,0,0,
13,4,0,4,0,4,0,0,0,
13,6,0,6,0,6,0,0,0,
13,3,0,3,0,3,0,0,0,
13,2,0,2,0,2,0,1,0,
13,4,0,4,0,4,0,0,1,
13,12,0,12,0,12,0,0,0,
13,32,0,32,0,32,0,0,0,
13,12,0,12,0,12,0,0,0,
13,1,0,1,0,1,0,0,0,
13,5,0,5,0,5,0,0,0,
13,64,0,64,0,64,0,0,0,
13,3,0,3,1,3,0,0,0,
13,30,0,30,0,30,0,0,0,
13,30,0,30,0,30,1,0,0,
13,6,0,6,0,6,0,0,0,
13,24,0,24,0,24,0,0,0,
13,16,0,16,0,16,1,1,0,
13,4,0,4,0,4,0,0,0,
13,30,0,30,0,30,0,0,0,
13,9,0,9,0,9,0,0,0,
13,4,0,4,0,4,0,0,0,
13,48,0,48,0,48,1,0,0,
13,2,0,2,1,2,0,1,1,
13,60,0,60,0,60,0,0,0,
13,24,0,24,0,24,0,0,0,
13,45,0,45,0,45,0,0,1,
13,1,0,1,0,1,0,0,0,
13,24,0,24,0,24,0,0,1,
13,16,0,16,0,16,0,0,0,
13,20,0,20,0,20,0,0,0,
13,12,0,12,0,12,0,1,0,
13,52,0,52,0,52,0,0,0,
13,18,0,18,0,18,0,0,0,
13,60,0,60,0,60,0,0,1,
13,120,0,120,0,120,0,0,0,
