n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
12,3,0,3,0,3,0,0,0
12,28,0,28,0,28,1,0,0
12,93,0,93,1,93,0,0,0
12,12,0,12,0,12,0,0,0
12,6,0,6,0,6,0,0,1
12,3,0,3,0,3,0,0,0
12,6,0,6,0,6,0,1,1
12,16,0,16,0,16,0,0,0
12,18,0,18,0,18,0,0,0
12,4,0,4,0,4,0,0,0
12,12,0,12,0,12,0,0,0
12,2,0,2,1,2,0,0,0
12,7,0,7,0,7,0,0,0
12,2,0,2,0,2,0,1,1
12,12,0,12,0,12,0,0,0
12,1,0,1,0,1,0,0,1
12,6,0,6,0,6,0,0,0
12,60,0,60,0,60,0,0,0
12,42,0,42,0,42,0,0,0
12,2,0,2,0,2,0,1,1
12,2,0,2,0,2,0,0,1
12,3,0,3,0,3,0,0,0
12,10,0,10,0,10,0,0,1
12,30,0,30,0,30,0,0,0
12,4,0,4,0,4,0,0,0
12,48,0,48,0,48,0,0,0
12,1,0,1,0,1,0,0,0
12,3,0,3,0,3,0,0,0
12,24,0,24,0,24,0,0,0
12,6,0,6,1,6,0,0,0
12,6,0,6,0,6,0,1,0
12,6,0,6,0,6,0,0,0
12,2,0,2,0,2,0,0,0
12,8,0,8,0,8,0,0,1
12,288,0,288,0,288,0,0,1
12,16,0,16,0,16,0,0,0
12,14,0,14,0,14,0,0,0
12,8,0,8,0,8,0,0,2
12,6,0,6,0,6,0,0,1
12,6,0,6,0,6,0,1,0
12,4,0,4,1,4,0,1,1
12,40,0,40,0,40,0,0,0
12,2,0,2,0,2,0,0,1
12,4,0,4,0,4,0,1,0
12,18,0,18,0,18,0,0,0
12,6,0,6,0,6,0,0,2
12,2,0,2,0,2,0,0,0
12,12,0,12,0,12,0,0,0
12,6,0,6,0,6,0,0,0
12,1,0,1,0,1,0,0,0
