n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
14,2,0,2,0,2,0,0,0,
14,24,0,24,0,24,0,0,0,
14,4,0,4,0,4,0,0,2,
14,2,0,2,0,2,0,0,0,
14,6,0,6,1,6,0,0,0,
14,8,0,8,0,8,0,0,0,
14,108,0,108,0,108,0,0,36,
14,9,0,9,0,9,0,0,0,
14,8,0,8,2,8,0,1,4,
14,18,0,18,0,18,0,0,1,
14,4,0,4,1,4,0,0,2,
14,12,0,12,0,12,0,0,0,
14,4,0,4,0,4,0,0,1,
14,2,0,2,0,2,0,0,0,
14,2,0,2,0,2,0,0,0,
14,8,0,8,1,8,0,0,0,
14,48,0,48,1,48,0,1,4,
14,2,0,2,0,2,0,0,1,
14,4,0,4,0,4,0,0,2,
14,8,0,8,0,8,0,0,8,
14,24,0,24,0,24,0,0,8,
14,2,0,2,1,2,1,1,1,
14,6,0,6,0,6,0,0,3,
14,8,0,8,0,8,0,0,4,
14,4,0,4,0,4,0,0,2,
14,12,0,12,0,12,0,0,0,
14,6,0,6,0,6,0,0,0,
14,9,0,9,1,9,0,0,6,
14,32,0,32,0,32,0,0,16,
14,72,0,72,0,72,0,0,12,
14,2,0,2,0,2,1,0,0,
14,6,0,6,0,6,0,0,0,
14,4,1,4,1,4,1,1,4,
14,16,0,16,0,16,0,0,8,
14,6,0,6,0,6,0,0,0,
14,3,0,3,0,3,0,0,3,
14,16,0,16,1,16,2,1,4,
14,45,0,45,1,45,0,0,3,
14,2,0,2,0,2,0,0,0,
14,6,0,6,0,6,0,0,6,
14,4,0,4,0,4,0,0,4,
14,4,0,4,0,4,0,0,0,
14,3,0,3,0,3,0,0,1,
14,32,0,32,0,32,0,0,16,
14,4,0,4,0,4,0,0,2,
14,10,0,10,2,10,0,0,6,
14,2,0,2,0,2,0,0,0,
14,2,0,2,0,2,1,0,0,
14,8,0,8,0,8,0,0,8,
14,1,0,1,0,1,1,0,0,
