n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
10,18,0,18,0,18,0,0,1
10,4,0,4,0,4,0,0,0
10,1,0,1,0,1,0,0,0
10,4,0,4,0,4,0,0,1
10,1,0,1,0,1,0,0,1
10,4,0,4,2,4,1,1,0
10,14,0,14,0,14,1,0,0
10,2,0,2,0,2,0,0,0
10,2,0,2,0,2,0,0,0
10,4,0,4,0,4,0,0,0
10,2,0,2,0,2,0,0,0
10,2,0,2,0,2,0,0,0
10,16,0,16,0,16,0,0,0
10,2,0,2,0,2,0,0,0
10,48,0,48,0,48,0,0,0
10,3,0,3,0,3,0,0,0
10,2,0,2,1,2,0,1,1
10,2,0,2,0,2,0,0,0
10,5,0,5,0,5,0,0,0
10,6,0,6,1,6,0,1,3
10,2,0,2,0,2,0,0,1
10,12,0,12,0,12,0,0,0
10,8,0,8,0,8,1,0,0
10,8,0,8,0,8,0,0,0
10,3,0,3,0,3,0,0,0
10,2,0,2,0,2,0,0,1
10,4,0,4,0,4,0,0,0
10,6,0,6,0,6,0,0,1
10,4,0,4,0,4,0,0,0
10,15,0,15,0,15,0,0,0
10,3,0,3,0,3,0,0,1
10,2,0,2,0,2,1,0,0
10,4,0,4,0,4,0,0,0
10,2,0,2,0,2,0,0,0
10,8,0,8,0,8,0,0,0
10,1,0,1,0,1,0,0,0
10,2,0,2,1,2,0,0,0
10,9,0,9,0,9,0,0,0
10,1,0,1,0,1,0,0,0
10,6,0,6,0,6,0,0,0
10,8,0,8,0,8,0,0,1
10,8,0,8,0,8,0,0,0
10,8,0,8,0,8,0,0,1
10,2,0,2,0,2,0,0,0
10,2,0,2,1,2,0,0,0
10,4,0,4,0,4,0,0,0
10,2,0,2,0,2,0,0,1
10,2,0,2,0,2,0,0,0
10,6,0,6,0,6,0,0,0
10,4,0,4,0,4,0,0,1
