n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
11,9,0,9,0,9,0,1,0
11,12,0,12,0,12,0,0,0
11,12,0,12,0,12,0,0,0
11,2,0,2,0,2,0,0,0
11,2,0,2,0,2,0,0,1
11,30,0,30,0,30,0,0,0
11,6,0,6,0,6,0,0,0
11,8,0,8,1,8,0,1,1
11,4,0,4,0,4,0,0,0
11,12,0,12,0,12,0,0,0
11,9,0,9,0,9,0,0,0
11,48,0,48,0,48,0,0,1
11,2,0,2,0,2,0,0,1
11,32,0,32,0,32,0,0,0
11,12,0,12,0,12,0,0,1
11,12,0,12,0,12,0,0,0
11,12,0,12,0,12,0,0,1
11,15,0,15,0,15,0,0,0
11,4,0,4,0,4,0,0,1
11,3,0,3,0,3,0,0,0
11,12,0,12,0,12,0,0,1
11,6,0,6,0,6,0,0,0
11,32,0,32,0,32,0,0,0
11,8,0,8,0,8,0,0,0
11,20,0,20,0,20,0,0,0
11,2,0,2,0,2,0,0,0
11,54,0,54,0,54,0,0,0
11,324,0,324,0,324,0,0,0
11,32,0,32,1,32,0,0,0
11,24,0,24,0,24,0,0,0
11,4,0,4,1,4,0,0,0
11,4,0,4,0,4,0,0,0
11,24,0,24,0,24,0,0,0
11,36,0,36,0,36,0,0,2
11,6,0,6,0,6,0,0,0
11,3,0,3,1,3,0,0,0
11,24,0,24,0,24,0,0,0
11,6,0,6,0,6,0,1,1
11,6,0,6,0,6,0,0,0
11,44,0,44,0,44,0,0,0
11,12,0,12,0,12,0,0,0
11,4,0,4,0,4,1,0,1
11,30,0,30,0,30,0,0,1
11,3,0,3,0,3,0,0,0
11,6,0,6,0,6,0,0,1
11,6,0,6,0,6,0,1,0
11,3,0,3,0,3,0,0,0
11,18,0,18,0,18,1,0,1
11,33,0,33,0,33,0,0,1
11,6,0,6,0,6,0,0,0
