n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
11,12,0,12,1,12,0,0,0
11,6,0,6,0,6,0,0,0
11,2,0,2,0,2,0,0,1
11,10,0,10,0,10,0,0,0
11,6,0,6,0,6,0,0,0
11,2,0,2,0,2,0,0,1
11,2,0,2,0,2,0,0,0
11,8,0,8,0,8,0,0,0
11,4,0,4,0,4,0,0,0
11,3,0,3,0,3,0,0,0
11,6,0,6,0,6,1,0,0
11,1,0,1,0,1,0,0,0
11,4,0,4,0,4,0,0,0
11,2,0,2,0,2,0,0,0
11,1,0,1,0,1,0,0,0
11,4,0,4,0,4,0,0,0
11,8,0,8,0,8,0,0,1
11,2,0,2,0,2,0,0,0
11,2,0,2,0,2,0,0,0
11,3,0,3,0,3,0,0,0
11,4,0,4,0,4,0,0,0
11,15,0,15,1,15,0,0,1
11,4,0,4,0,4,1,0,1
11,4,0,4,0,4,0,0,0
11,6,0,6,0,6,0,0,0
11,4,0,4,0,4,1,0,0
11,4,0,4,0,4,0,0,0
11,12,0,12,0,12,0,0,0
11,24,0,24,0,24,0,0,0
11,4,0,4,0,4,0,0,0
11,2,0,2,0,2,0,1,0
11,8,0,8,0,8,0,0,0
11,1,0,1,0,1,0,0,0
11,1,0,1,0,1,0,0,0
11,6,0,6,0,6,0,0,0
11,36,0,36,0,36,0,0,2
11,10,0,10,0,10,0,0,0
11,1,0,1,0,1,0,0,0
11,4,0,4,0,4,0,0,1
11,2,0,2,1,2,0,0,0
11,4,0,4,0,4,0,0,0
11,2,0,2,0,2,1,0,0
11,16,0,16,0,16,1,1,0
11,1,0,1,0,1,0,0,0
11,6,0,6,0,6,0,0,0
11,2,0,2,1,2,0,0,0
11,2,0,2,0,2,0,1,0
11,4,0,4,0,4,0,0,0
11,1,0,1,0,1,0,0,0
11,2,0,2,0,2,0,0,0
