n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
12,48,0,48,0,48,0,0,0,
12,48,0,48,0,48,0,0,0,
12,1,0,1,0,1,0,0,0,
12,32,0,32,0,32,0,0,0,
12,24,0,24,0,24,0,1,0,
12,3,0,3,1,3,0,0,0,
12,4,0,4,0,4,0,0,0,
12,6,0,6,0,6,0,0,0,
12,2,0,2,0,2,1,0,0,
12,6,0,6,1,6,1,1,1,
12,12,0,12,0,12,0,1,1,
12,4,0,4,0,4,0,0,0,
12,6,0,6,0,6,0,0,0,
12,4,0,4,0,4,0,0,0,
12,12,0,12,0,12,0,1,0,
12,36,0,36,0,36,1,0,1,
12,3,0,3,0,3,0,0,0,
12,1,0,1,0,1,0,0,0,
12,4,0,4,0,4,0,0,0,
12,2,0,2,0,2,0,0,1,
12,56,0,56,1,56,0,0,0,
12,45,0,45,0,45,0,0,0,
12,4,0,4,0,4,0,0,0,
12,2,0,2,0,2,0,0,0,
12,12,0,12,0,12,0,0,0,
12,2,0,2,0,2,0,0,0,
12,72,0,72,0,72,1,0,0,
12,6,0,6,1,6,0,0,0,
12,16,0,16,0,16,1,0,0,
12,12,0,12,0,12,1,0,0,
12,20,0,20,0,20,0,0,0,
12,12,0,12,0,12,0,0,0,
12,8,0,8,0,8,0,0,0,
12,9,0,9,0,9,0,0,1,
12,3,0,3,0,3,0,0,0,
12,12,0,12,0,12,0,0,0,
12,72,0,72,0,72,0,0,0,
12,30,0,30,0,30,0,0,0,
12,12,0,12,0,12,0,0,0,
12,18,0,18,0,18,0,0,0,
12,4,0,4,0,4,0,0,0,
12,48,0,48,0,48,1,0,0,
12,70,0,70,0,70,0,0,0,
12,6,0,6,0,6,0,0,0,
12,24,0,24,0,24,0,0,0,
12,108,0,108,0,108,0,0,0,
12,36,0,36,0,36,1,1,0,
12,1,0,1,0,1,0,0,0,
12,5,0,5,0,5,0,0,0,
12,10,0,10,0,10,0,0,0,
