n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
11,32,0,32,0,32,0,0,0
11,144,0,144,0,144,0,0,1
11,12,0,12,1,12,0,1,1
11,10,0,10,0,10,0,0,0
11,40,0,40,0,40,1,0,0
11,12,0,12,0,12,0,0,0
11,4,0,4,0,4,1,0,0
11,21,0,21,0,21,0,0,0
11,2,0,2,0,2,1,0,0
11,9,0,9,0,9,0,0,0
11,6,0,6,0,6,0,0,0
11,6,0,6,0,6,0,0,0
11,4,0,4,0,4,1,0,1
11,1,0,1,0,1,0,0,0
11,4,0,4,0,4,0,1,0
11,2,0,2,0,2,0,0,0
11,8,0,8,0,8,0,0,1
11,12,0,12,0,12,0,0,0
11,6,0,6,0,6,0,1,0
11,12,0,12,0,12,0,0,0
11,30,0,30,0,30,1,0,0
11,8,0,8,0,8,0,0,0
11,2,0,2,1,2,0,0,0
11,4,0,4,0,4,0,0,0
11,2,0,2,0,2,0,0,0
11,2,0,2,0,2,0,0,0
11,15,0,15,0,15,0,0,0
11,33,0,33,0,33,0,0,0
11,36,0,36,0,36,0,0,0
11,4,0,4,0,4,0,0,0
11,8,0,8,0,8,1,0,1
11,60,0,60,0,60,0,0,0
11,12,0,12,0,12,0,0,0
11,6,0,6,0,6,0,0,1
11,24,0,24,0,24,0,0,0
11,6,0,6,0,6,0,0,0
11,4,0,4,1,4,0,0,0
11,12,0,12,0,12,0,0,0
11,24,0,24,0,24,0,0,1
11,6,0,6,0,6,0,0,0
11,18,0,18,0,18,0,0,0
11,3,0,3,0,3,0,0,0
11,54,0,54,0,54,0,0,0
11,12,0,12,0,12,0,0,0
11,30,0,30,0,30,0,0,0
11,2,0,2,0,2,0,0,0
11,24,0,24,0,24,1,1,0
11,8,0,8,0,8,0,0,0
11,6,0,6,0,6,0,0,0
11,98,0,98,0,98,0,0,0
