n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
12,4,0,4,0,4,0,0,0,
12,18,0,18,0,18,0,0,0,
12,3,0,3,0,3,0,0,0,
12,32,0,32,0,32,0,1,1,
12,6,0,6,0,6,0,0,0,
12,2,0,2,0,2,0,0,0,
12,2,1,2,0,2,1,0,1,
12,19,0,19,0,19,0,0,0,
12,1,0,1,0,1,0,0,0,
12,12,0,12,0,12,1,0,0,
12,36,0,36,0,36,0,0,0,
12,4,0,4,0,4,0,0,0,
12,4,0,4,0,4,0,0,0,
12,236,0,236,1,236,0,0,0,
12,8,0,8,0,8,0,0,0,
12,3,0,3,0,3,0,0,2,
12,4,0,4,0,4,0,0,1,
12,52,0,52,0,52,0,0,0,
12,30,0,30,0,30,0,0,0,
12,24,0,24,0,24,0,0,2,
12,2,0,2,0,2,0,0,0,
12,12,0,12,0,12,0,0,1,
12,4,0,4,0,4,0,0,0,
12,1,0,1,0,1,0,0,0,
12,12,0,12,0,12,0,0,2,
12,6,0,6,1,6,0,1,2,
12,4,0,4,0,4,0,0,0,
12,1,0,1,0,1,0,0,0,
12,2,0,2,0,2,0,0,0,
12,9,0,9,0,9,0,0,0,
12,2,0,2,0,2,1,0,0,
12,28,0,28,0,28,0,0,0,
12,4,0,4,0,4,0,1,1,
12,64,0,64,0,64,0,0,0,
12,8,0,8,0,8,0,0,0,
12,24,0,24,0,24,0,0,0,
12,24,0,24,0,24,0,0,0,
12,8,0,8,0,8,0,0,0,
12,3,0,3,1,3,0,0,0,
12,89,0,89,0,89,0,0,0,
12,9,0,9,0,9,0,0,0,
12,12,0,12,1,12,0,0,0,
12,18,0,18,0,18,0,0,0,
12,30,0,30,0,30,0,0,0,
12,3,0,3,0,3,0,0,1,
12,16,0,16,0,16,0,0,1,
12,18,0,18,0,18,0,0,0,
12,48,0,48,0,48,0,0,0,
12,4,0,4,0,4,0,0,0,
12,6,0,6,0,6,0,1,1,
