n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
13,4,0,4,1,4,0,0,1
13,6,0,6,1,6,0,0,2
13,2,0,2,1,2,0,0,2
13,12,0,12,1,12,0,1,12
13,1,0,1,0,1,0,0,1
13,24,0,24,0,24,0,0,8
13,2,0,2,0,2,1,0,0
13,1,0,1,0,1,0,0,0
13,6,0,6,0,6,0,0,0
13,1,0,1,0,1,0,0,0
13,4,0,4,1,4,0,1,2
13,32,0,32,0,32,0,0,2
13,8,0,8,0,8,0,0,0
13,2,0,2,2,2,0,1,2
13,2,1,2,0,2,0,0,2
13,2,0,2,0,2,0,0,2
13,8,0,8,0,8,0,0,4
13,1,0,1,1,1,0,0,1
13,2,0,2,0,2,0,0,0
13,3,0,3,0,3,1,0,0
13,24,0,24,0,24,1,0,0
13,1,0,1,1,1,0,0,1
13,32,0,32,0,32,0,0,4
13,6,0,6,0,6,0,0,0
13,4,0,4,0,4,0,0,1
13,4,0,4,1,4,0,1,1
13,2,0,2,1,2,0,1,1
13,18,0,18,0,18,0,0,4
13,8,0,8,0,8,0,0,0
13,1,0,1,2,1,1,0,0
13,8,0,8,0,8,0,0,4
13,3,0,3,0,3,0,0,1
13,6,0,6,0,6,0,0,1
13,2,0,2,1,2,0,1,1
13,18,0,18,0,18,0,0,0
13,12,0,12,0,12,0,0,0
13,2,0,2,1,2,0,0,0
13,6,0,6,0,6,1,0,2
13,1,0,1,1,1,1,0,0
13,10,0,10,0,10,0,0,0
13,8,0,8,1,8,0,0,0
13,4,0,4,1,4,0,0,2
13,18,0,18,1,18,1,1,1
13,3,0,3,0,3,0,0,3
13,4,1,4,0,4,1,0,2
13,3,1,3,1,3,1,0,3
13,1,1,1,2,1,1,0,1
13,36,0,36,0,36,0,0,0
13,4,0,4,1,4,0,0,2
13,8,0,8,0,8,0,0,4
