n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
14,2,0,2,1,2,0,0,0
14,4,0,4,0,4,0,0,2
14,6,0,6,0,6,0,0,0
14,8,0,8,0,8,0,0,2
14,36,0,36,0,36,0,1,0
14,24,0,24,0,24,0,0,0
14,2,0,2,0,2,0,0,2
14,24,0,24,0,24,0,0,4
14,4,0,4,0,4,1,0,0
14,8,0,8,0,8,0,0,0
14,4,1,4,0,4,1,0,2
14,12,0,12,0,12,0,0,0
14,8,0,8,0,8,0,0,2
14,9,0,9,0,9,0,0,3
14,16,0,16,0,16,0,0,3
14,4,0,4,0,4,0,0,0
14,2,0,2,1,2,0,0,1
14,24,0,24,0,24,0,0,0
14,6,0,6,1,6,0,0,0
14,2,0,2,2,2,0,1,2
14,6,0,6,0,6,0,0,0
14,2,0,2,0,2,1,0,0
14,8,0,8,1,8,0,0,4
14,8,0,8,0,8,0,0,0
14,8,0,8,0,8,0,0,0
14,2,0,2,1,2,0,0,2
14,2,0,2,0,2,0,0,0
14,2,1,2,0,2,0,0,2
14,14,0,14,0,14,0,0,0
14,60,0,60,0,60,0,0,0
14,16,0,16,0,16,1,0,4
14,16,0,16,1,16,0,0,4
14,4,0,4,1,4,0,0,0
14,4,0,4,0,4,0,0,2
14,2,0,2,0,2,0,0,2
14,4,1,4,1,4,1,0,4
14,8,0,8,1,8,0,0,4
14,12,0,12,0,12,0,0,0
14,1,0,1,0,1,0,0,0
14,8,1,8,0,8,0,0,8
14,4,0,4,0,4,0,0,0
14,8,0,8,0,8,0,0,0
14,4,0,4,0,4,0,0,1
14,4,0,4,1,4,0,0,0
14,8,0,8,0,8,0,0,4
14,22,0,22,1,22,0,0,1
14,2,0,2,0,2,0,0,0
14,12,0,12,0,12,0,0,0
14,32,0,32,0,32,0,0,2
14,24,0,24,0,24,0,0,6
