n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
12,15,0,15,0,15,0,0,1,
12,2,0,2,1,2,0,1,1,
12,60,0,60,0,60,0,0,0,
12,6,0,6,0,6,0,0,0,
12,4,0,4,0,4,0,0,0,
12,8,0,8,0,8,0,0,0,
12,3,0,3,0,3,0,0,0,
12,10,0,10,0,10,0,0,0,
12,4,0,4,0,4,0,0,0,
12,2,0,2,0,2,0,0,1,
12,6,0,6,0,6,0,0,0,
12,2,0,2,0,2,0,0,1,
12,3,0,3,1,3,1,0,0,
12,64,0,64,0,64,0,0,0,
12,42,0,42,0,42,0,1,0,
12,6,0,6,0,6,0,0,0,
12,9,0,9,0,9,0,0,0,
12,18,0,18,0,18,0,0,0,
12,27,0,27,0,27,0,0,0,
12,120,0,120,0,120,0,0,0,
12,3,0,3,0,3,0,0,1,
12,8,0,8,0,8,0,0,0,
12,6,0,6,0,6,0,0,1,
12,36,0,36,0,36,0,0,1,
12,2,0,2,0,2,0,0,1,
12,2,0,2,0,2,0,0,0,
12,18,0,18,0,18,0,0,1,
12,2,0,2,1,2,0,1,1,
12,8,0,8,0,8,0,0,0,
12,24,0,24,0,24,0,0,0,
12,30,0,30,0,30,0,0,0,
12,12,0,12,0,12,0,0,0,
12,10,0,10,0,10,0,0,0,
12,2,0,2,1,2,0,1,0,
12,4,0,4,0,4,0,0,0,
12,6,0,6,0,6,0,0,1,
12,4,0,4,0,4,0,0,0,
12,2,0,2,0,2,1,0,0,
12,4,0,4,0,4,0,0,0,
12,2,0,2,1,2,0,0,0,
12,12,0,12,0,12,0,0,0,
12,72,0,72,0,72,0,0,3,
12,2,0,2,0,2,0,0,0,
12,4,0,4,1,4,0,0,0,
12,18,0,18,0,18,0,0,1,
12,24,0,24,0,24,0,0,0,
12,8,0,8,0,8,0,0,0,
12,36,0,36,0,36,0,0,0,
12,15,0,15,0,15,0,0,0,
12,20,0,20,0,20,0,0,0,
