n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
11,1,0,1,0,1,0,0,0,
11,6,0,6,0,6,0,0,2,
11,12,0,12,0,12,0,0,4,
11,10,0,10,0,10,1,0,0,
11,2,0,2,1,2,0,0,0,
11,2,0,2,0,2,0,0,0,
11,6,0,6,0,6,0,0,2,
11,3,0,3,1,3,0,0,0,
11,18,0,18,0,18,0,0,2,
11,24,0,24,0,24,0,1,3,
11,36,0,36,0,36,0,1,0,
11,4,0,4,0,4,0,0,2,
11,8,0,8,0,8,0,0,2,
11,24,0,24,1,24,0,1,4,
11,24,0,24,0,24,0,0,0,
11,4,0,4,0,4,0,0,0,
11,6,0,6,0,6,0,0,1,
11,12,0,12,0,12,1,0,0,
11,4,0,4,0,4,0,0,2,
11,6,0,6,0,6,0,0,0,
11,24,0,24,0,24,0,0,12,
11,4,0,4,0,4,0,0,1,
11,2,0,2,1,2,0,1,2,
11,2,0,2,0,2,0,0,0,
11,2,0,2,0,2,0,0,0,
11,6,0,6,0,6,0,0,3,
11,12,0,12,1,12,0,0,1,
11,8,0,8,0,8,0,0,4,
11,12,0,12,0,12,0,0,6,
11,48,0,48,0,48,0,0,0,
11,4,0,4,1,4,0,1,1,
11,3,0,3,0,3,0,0,0,
11,6,0,6,0,6,1,0,0,
11,24,0,24,1,24,0,0,12,
11,14,0,14,0,14,0,0,7,
11,12,0,12,0,12,0,0,0,
11,8,0,8,0,8,0,0,0,
11,2,0,2,0,2,1,0,0,
11,3,0,3,0,3,0,0,1,
11,2,0,2,0,2,0,0,1,
11,4,0,4,0,4,0,0,0,
11,12,0,12,0,12,0,0,0,
11,2,0,2,0,2,0,0,0,
11,3,0,3,0,3,0,0,3,
11,2,0,2,0,2,0,0,0,
11,36,0,36,0,36,0,0,12,
11,9,0,9,1,9,0,0,1,
11,4,0,4,1,4,0,0,0,
11,14,0,14,0,14,0,0,12,
11,4,0,4,0,4,0,0,0,
