n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
13,1,0,1,1,1,0,1,1,
13,24,0,24,0,24,1,0,6,
13,3,0,3,0,3,1,0,0,
13,20,0,20,0,20,0,0,4,
13,5,0,5,0,5,0,0,1,
13,8,0,8,0,8,0,0,0,
13,24,0,24,0,24,0,0,8,
13,8,0,8,1,8,0,0,8,
13,4,0,4,1,4,0,0,0,
13,4,0,4,0,4,0,0,1,
13,6,0,6,0,6,0,0,0,
13,8,0,8,1,8,1,0,1,
13,2,0,2,0,2,0,0,1,
13,8,0,8,0,8,0,0,0,
13,1,0,1,0,1,0,0,0,
13,2,0,2,1,2,0,1,2,
13,4,0,4,0,4,0,0,0,
13,10,0,10,0,10,0,0,2,
13,9,0,9,0,9,0,0,0,
13,4,0,4,0,4,0,0,4,
13,4,0,4,0,4,0,1,1,
13,36,0,36,0,36,0,0,0,
13,4,0,4,0,4,0,0,2,
13,2,0,2,0,2,0,0,0,
13,6,0,6,0,6,0,0,3,
13,2,0,2,0,2,1,0,0,
13,6,0,6,0,6,0,0,1,
13,8,0,8,0,8,0,0,4,
13,1,1,1,1,1,1,0,1,
13,4,0,4,0,4,0,1,1,
13,2,0,2,1,2,0,0,0,
13,4,0,4,0,4,0,0,0,
13,40,0,40,0,40,0,0,2,
13,2,0,2,1,2,0,1,1,
13,1,0,1,0,1,0,0,1,
13,3,0,3,0,3,0,0,1,
13,4,0,4,0,4,0,0,2,
13,12,0,12,0,12,0,0,1,
13,6,0,6,0,6,0,0,2,
13,4,0,4,0,4,0,0,0,
13,1,0,1,0,1,0,0,0,
13,32,0,32,1,32,1,1,8,
13,12,0,12,0,12,1,0,2,
13,4,0,4,0,4,0,0,2,
13,2,0,2,1,2,0,0,1,
13,12,0,12,0,12,1,0,3,
13,18,0,18,1,18,0,0,6,
13,24,0,24,0,24,0,0,24,
13,4,0,4,0,4,0,0,0,
13,12,0,12,0,12,0,0,0,
