n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
12,12,0,12,0,12,0,0,2
12,12,0,12,0,12,0,0,0
12,1,0,1,0,1,0,0,0
12,8,0,8,0,8,0,0,1
12,12,0,12,0,12,0,0,0
12,14,0,14,0,14,0,0,0
12,12,0,12,0,12,1,0,0
12,1,0,1,0,1,0,0,0
12,6,0,6,0,6,0,0,0
12,3,0,3,0,3,0,0,0
12,18,0,18,0,18,0,0,0
12,10,0,10,0,10,0,0,0
12,24,0,24,0,24,0,1,0
12,4,0,4,0,4,0,1,1
12,4,0,4,0,4,1,0,0
12,12,0,12,0,12,0,0,1
12,64,0,64,0,64,0,0,0
12,3,0,3,0,3,0,0,0
12,12,0,12,0,12,1,0,0
12,3,0,3,0,3,1,0,0
12,6,0,6,0,6,0,0,0
12,6,0,6,0,6,0,0,0
12,70,0,70,0,70,1,1,1
12,3,0,3,0,3,0,0,1
12,60,0,60,0,60,0,0,1
12,12,0,12,0,12,0,0,0
12,20,0,20,0,20,0,0,1
12,24,0,24,0,24,0,0,0
12,2,0,2,0,2,0,0,0
12,2,0,2,0,2,0,0,0
12,6,0,6,0,6,0,0,0
12,25,0,25,0,25,0,1,0
12,108,0,108,0,108,0,0,0
12,4,0,4,0,4,0,0,0
12,27,0,27,0,27,0,0,0
12,24,0,24,0,24,0,0,0
12,12,0,12,0,12,0,0,0
12,4,0,4,0,4,0,0,0
12,2,0,2,0,2,0,0,1
12,36,0,36,0,36,0,0,0
12,1,0,1,0,1,0,0,1
12,12,0,12,0,12,0,0,0
12,18,0,18,0,18,1,0,0
12,18,0,18,0,18,0,0,0
12,8,0,8,0,8,0,0,0
12,2,0,2,1,2,0,1,1
12,8,0,8,0,8,0,0,1
12,8,0,8,0,8,0,0,1
12,15,0,15,0,15,0,0,0
12,18,0,18,0,18,0,0,0
