n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
14,6,0,6,0,6,0,0,0
14,16,0,16,0,16,0,0,0
14,18,0,18,0,18,0,0,0
14,20,0,20,0,20,1,0,0
14,4,0,4,0,4,0,0,0
14,10,0,10,0,10,0,0,0
14,2,0,2,0,2,1,0,0
14,4,0,4,0,4,0,0,0
14,3,0,3,0,3,0,0,0
14,4,0,4,0,4,0,0,0
14,6,0,6,0,6,0,0,1
14,1,0,1,0,1,0,0,0
14,1,0,1,0,1,0,0,1
14,4,0,4,0,4,0,0,0
14,2,0,2,0,2,0,0,0
14,12,0,12,0,12,0,0,0
14,6,0,6,0,6,0,0,0
14,4,0,4,0,4,0,0,0
14,10,0,10,0,10,0,1,1
14,3,0,3,0,3,0,0,0
14,6,0,6,0,6,2,0,0
14,2,0,2,1,2,0,0,0
14,4,0,4,0,4,0,1,1
14,6,0,6,0,6,0,0,0
14,9,0,9,0,9,0,0,0
14,8,0,8,0,8,0,0,0
14,12,0,12,0,12,0,0,0
14,2,0,2,0,2,0,0,1
14,6,0,6,0,6,0,0,0
14,2,0,2,0,2,0,0,0
14,1,0,1,0,1,0,0,0
14,4,0,4,0,4,0,0,0
14,4,0,4,0,4,0,1,0
14,1,0,1,0,1,1,0,0
14,24,0,24,0,24,0,0,0
14,9,0,9,0,9,0,0,0
14,10,0,10,0,10,0,0,0
14,8,0,8,0,8,0,0,0
14,4,0,4,0,4,0,0,0
14,4,0,4,0,4,1,0,0
14,2,0,2,0,2,0,0,0
14,1,1,1,0,1,0,0,0
14,1,1,1,0,1,1,0,1
14,12,0,12,0,12,0,0,0
14,1,0,1,1,1,0,0,0
14,4,0,4,0,4,0,0,0
14,2,0,2,0,2,0,0,0
14,2,0,2,0,2,0,0,0
14,3,0,3,0,3,0,0,0
14,2,0,2,0,2,0,1,0
