n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
11,3,0,3,1,3,0,0,0,
11,6,0,6,0,6,0,1,0,
11,3,0,3,0,3,0,0,0,
11,2,0,2,0,2,0,0,1,
11,24,0,24,0,24,0,0,0,
11,20,0,20,0,20,0,0,0,
11,4,0,4,0,4,0,0,0,
11,10,0,10,0,10,0,0,1,
11,6,0,6,0,6,0,1,0,
11,24,0,24,0,24,0,0,1,
11,3,0,3,1,3,0,0,0,
11,12,0,12,0,12,0,0,0,
11,3,0,3,0,3,1,0,0,
11,26,0,26,0,26,0,0,0,
11,4,0,4,0,4,0,0,0,
11,6,0,6,0,6,0,0,0,
11,6,0,6,0,6,0,0,0,
11,6,0,6,0,6,1,0,0,
11,12,0,12,0,12,0,0,0,
11,16,0,16,0,16,0,0,0,
11,2,0,2,0,2,0,0,1,
11,10,0,10,0,10,0,0,0,
11,4,0,4,0,4,0,1,0,
11,10,0,10,0,10,0,0,0,
11,2,0,2,0,2,0,0,0,
11,10,0,10,0,10,0,0,0,
11,21,0,21,0,21,0,0,0,
11,24,0,24,0,24,1,1,1,
11,144,0,144,0,144,0,0,0,
11,9,0,9,0,9,0,0,0,
11,3,0,3,0,3,0,0,0,
11,6,0,6,0,6,0,0,0,
11,6,0,6,0,6,0,0,0,
11,6,0,6,0,6,1,0,0,
11,2,0,2,0,2,0,0,1,
11,4,0,4,0,4,1,0,1,
11,4,0,4,1,4,0,1,1,
11,3,0,3,0,3,0,0,0,
11,3,0,3,0,3,0,0,0,
11,12,0,12,0,12,0,0,1,
11,20,0,20,0,20,0,0,1,
11,12,0,12,0,12,0,0,0,
11,14,0,14,0,14,0,0,0,
11,32,0,32,0,32,0,0,1,
11,58,0,58,0,58,0,0,0,
11,1,0,1,0,1,0,0,0,
11,3,0,3,0,3,0,0,0,
11,20,0,20,0,20,0,0,0,
11,72,0,72,0,72,0,0,0,
11,6,0,6,0,6,0,1,1,
