n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
13,5,0,5,0,5,0,0,0,
13,24,0,24,0,24,0,0,0,
13,12,0,12,0,12,0,0,0,
13,96,0,96,0,96,0,1,0,
13,3,0,3,0,3,0,0,0,
13,18,0,18,0,18,1,0,0,
13,72,0,72,0,72,0,0,0,
13,24,0,24,0,24,0,1,0,
13,48,0,48,0,48,0,0,0,
13,30,0,30,0,30,0,0,0,
13,60,0,60,0,60,0,0,0,
13,3,0,3,1,3,0,0,0,
13,12,0,12,0,12,0,0,0,
13,54,0,54,0,54,0,0,0,
13,16,0,16,0,16,0,0,0,
13,8,0,8,0,8,0,0,0,
13,12,0,12,0,12,1,0,0,
13,4,0,4,0,4,0,0,0,
13,25,0,25,0,25,0,0,0,
13,12,0,12,0,12,0,0,0,
13,1,0,1,1,1,0,0,0,
13,72,0,72,0,72,0,0,0,
13,4,0,4,0,4,0,0,0,
13,9,0,9,0,9,0,0,0,
13,8,0,8,0,8,0,0,0,
13,3,0,3,0,3,0,0,1,
13,8,0,8,0,8,0,0,0,
13,6,0,6,0,6,0,0,0,
13,4,0,4,0,4,0,0,0,
13,2,0,2,0,2,0,0,1,
13,24,0,24,0,24,0,1,1,
13,16,0,16,0,16,0,0,0,
13,1,0,1,0,1,0,0,0,
13,18,0,18,0,18,0,0,1,
13,6,0,6,0,6,0,0,0,
13,16,0,16,0,16,0,0,0,
13,12,0,12,0,12,0,0,0,
13,6,0,6,0,6,1,0,0,
13,6,0,6,0,6,0,0,0,
13,16,0,16,0,16,1,0,0,
13,16,0,16,0,16,0,0,0,
13,48,0,48,0,48,0,0,3,
13,4,0,4,0,4,0,0,0,
13,48,0,48,0,48,0,0,0,
13,8,0,8,0,8,0,0,1,
13,60,0,60,0,60,0,0,1,
13,30,0,30,0,30,0,0,0,
13,18,0,18,0,18,0,0,0,
13,8,0,8,0,8,0,0,1,
13,12,0,12,0,12,0,0,0,
