n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
11,1,0,1,0,1,0,0,0
11,2,0,2,0,2,0,1,0
11,2,0,2,0,2,0,0,0
11,1,0,1,0,1,0,0,0
11,12,0,12,0,12,0,0,1
11,1,0,1,1,1,0,0,0
11,4,0,4,0,4,0,0,0
11,1,0,1,0,1,0,0,0
11,2,0,2,0,2,1,0,0
11,2,0,2,1,2,0,0,1
11,1,0,1,0,1,0,0,0
11,1,0,1,0,1,0,1,0
11,1,0,1,1,1,0,0,0
11,1,0,1,0,1,0,0,1
11,2,0,2,0,2,0,0,0
11,1,0,1,0,1,0,1,0
11,2,0,2,1,2,0,0,0
11,2,0,2,0,2,0,0,0
11,2,1,2,0,2,0,0,2
11,1,0,1,0,1,0,0,1
11,5,1,5,0,5,1,0,1
11,1,0,1,0,1,0,0,0
11,3,0,3,0,3,0,0,2
11,3,0,3,1,3,0,0,0
11,1,0,1,1,1,0,0,0
11,8,0,8,1,8,0,1,1
11,6,0,6,0,6,0,0,0
11,6,0,6,0,6,0,0,0
11,1,0,1,0,1,0,0,0
11,6,0,6,0,6,2,0,0
11,1,0,1,0,1,0,0,0
11,4,0,4,0,4,0,0,0
11,4,0,4,0,4,0,0,0
11,1,0,1,0,1,0,0,0
11,1,0,1,0,1,0,0,0
11,1,0,1,1,1,0,0,1
11,1,0,1,0,1,0,0,1
11,1,0,1,0,1,0,0,1
11,8,1,8,0,8,1,0,8
11,2,0,2,0,2,0,0,0
11,1,0,1,1,1,0,0,1
11,2,0,2,0,2,1,0,0
11,2,0,2,0,2,0,0,0
11,1,0,1,0,1,0,0,1
11,1,0,1,0,1,0,0,0
11,8,0,8,0,8,0,0,1
11,2,0,2,0,2,0,0,1
11,8,0,8,0,8,2,0,0
11,4,0,4,0,4,0,0,0
11,4,1,4,1,4,1,0,1
