n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
10,12,0,12,0,12,0,0,4
10,4,0,4,1,4,0,0,2
10,3,0,3,0,3,0,0,3
10,36,0,36,0,36,0,0,2
10,10,0,10,1,10,0,0,1
10,3,0,3,1,3,0,1,1
10,2,0,2,1,2,0,0,0
10,4,0,4,0,4,0,0,0
10,12,0,12,0,12,0,0,1
10,6,0,6,1,6,0,1,2
10,3,0,3,1,3,0,0,1
10,4,0,4,0,4,1,0,0
10,3,0,3,0,3,1,0,0
10,3,0,3,0,3,0,1,0
10,1,0,1,0,1,0,0,1
10,1,0,1,1,1,0,0,1
10,18,0,18,1,18,0,0,1
10,9,0,9,0,9,0,0,1
10,10,0,10,0,10,0,0,0
10,6,0,6,1,6,0,0,4
10,4,0,4,0,4,0,0,2
10,6,0,6,0,6,0,0,6
10,2,0,2,0,2,0,0,0
10,8,0,8,1,8,0,0,0
10,6,0,6,0,6,0,0,0
10,4,0,4,0,4,0,0,0
10,1,0,1,0,1,0,0,1
10,8,0,8,1,8,0,1,0
10,2,0,2,0,2,0,0,1
10,4,0,4,0,4,0,0,0
10,6,1,6,0,6,1,0,6
10,4,0,4,1,4,0,1,4
10,8,0,8,0,8,0,0,2
10,2,0,2,1,2,0,1,2
10,4,0,4,0,4,0,1,0
10,9,0,9,0,9,0,0,0
10,1,0,1,0,1,0,0,0
10,2,0,2,0,2,0,0,1
10,3,0,3,0,3,0,0,0
10,1,1,1,1,1,0,0,1
10,2,0,2,1,2,0,0,0
10,2,0,2,0,2,1,1,0
10,2,0,2,1,2,0,0,0
10,4,0,4,0,4,0,0,0
10,12,0,12,1,12,0,0,4
10,48,0,48,0,48,0,0,24
10,2,0,2,0,2,0,0,1
10,2,0,2,0,2,0,0,0
10,4,0,4,1,4,1,0,0
10,2,0,2,1,2,0,0,0
