n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
15,6,0,6,1,6,0,1,1
15,8,0,8,0,8,0,0,0
15,2,0,2,0,2,0,1,0
15,3,0,3,0,3,0,0,0
15,1,0,1,0,1,0,0,0
15,4,0,4,0,4,0,0,1
15,4,0,4,0,4,0,0,0
15,1,0,1,0,1,0,0,0
15,1,0,1,0,1,0,0,0
15,2,0,2,0,2,0,0,1
15,4,0,4,0,4,1,0,0
15,4,0,4,0,4,0,0,0
15,9,0,9,0,9,0,0,0
15,8,0,8,0,8,0,0,0
15,18,0,18,0,18,0,0,0
15,9,0,9,1,9,0,1,1
15,2,0,2,0,2,0,0,0
15,2,0,2,0,2,0,0,0
15,16,0,16,0,16,0,0,1
15,10,0,10,0,10,1,0,0
15,4,0,4,0,4,2,0,0
15,4,0,4,0,4,0,1,1
15,2,0,2,1,2,0,1,1
15,18,0,18,0,18,0,0,0
15,2,0,2,0,2,0,1,0
15,1,0,1,0,1,0,0,0
15,4,0,4,0,4,0,0,1
15,2,0,2,0,2,0,0,1
15,2,0,2,0,2,0,0,0
15,4,0,4,0,4,0,0,0
15,2,0,2,1,2,0,1,1
15,4,0,4,0,4,0,0,0
15,1,0,1,0,1,0,0,0
15,4,0,4,0,4,0,0,0
15,18,0,18,0,18,0,0,0
15,2,0,2,0,2,0,0,0
15,4,0,4,0,4,0,0,0
15,2,0,2,0,2,0,0,0
15,1,0,1,0,1,0,0,0
15,12,0,12,0,12,0,0,1
15,2,0,2,0,2,0,0,0
15,8,0,8,0,8,0,0,0
15,2,0,2,0,2,0,0,0
15,16,0,16,0,16,0,0,0
15,10,0,10,0,10,0,0,0
15,2,0,2,0,2,0,1,0
15,6,0,6,0,6,0,0,0
15,8,0,8,0,8,1,0,0
15,6,0,6,0,6,0,0,0
15,4,0,4,0,4,0,0,0
