n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
13,8,0,8,0,8,0,0,2,
13,1,0,1,0,1,0,0,0,
13,18,0,18,1,18,0,0,6,
13,4,0,4,0,4,0,0,2,
13,64,0,64,1,64,0,0,12,
13,3,0,3,0,3,0,0,0,
13,4,0,4,0,4,0,0,0,
13,1,0,1,1,1,0,0,0,
13,4,0,4,0,4,0,0,2,
13,6,0,6,0,6,0,0,6,
13,36,0,36,1,36,0,0,0,
13,24,0,24,0,24,1,1,0,
13,2,0,2,0,2,0,0,0,
13,2,0,2,0,2,0,0,2,
13,6,1,6,0,6,1,1,2,
13,2,0,2,0,2,0,0,1,
13,2,0,2,0,2,0,0,0,
13,16,0,16,0,16,0,0,4,
13,6,0,6,0,6,0,0,2,
13,12,0,12,0,12,0,0,6,
13,3,0,3,0,3,0,0,0,
13,2,0,2,1,2,0,0,0,
13,24,0,24,0,24,0,0,0,
13,1,0,1,0,1,0,0,1,
13,42,0,42,0,42,0,0,6,
13,152,0,152,0,152,0,1,0,
13,1,1,1,2,1,0,0,1,
13,24,0,24,0,24,0,0,0,
13,4,0,4,0,4,0,0,0,
13,4,0,4,1,4,0,1,1,
13,4,0,4,1,4,0,0,0,
13,16,0,16,0,16,0,1,2,
13,1,0,1,1,1,0,0,0,
13,6,0,6,0,6,0,0,4,
13,20,0,20,0,20,0,0,4,
13,4,0,4,0,4,0,0,2,
13,12,0,12,1,12,0,0,4,
13,6,0,6,0,6,1,0,0,
13,6,0,6,0,6,0,0,2,
13,12,0,12,0,12,0,0,2,
13,2,0,2,0,2,0,0,0,
13,2,0,2,1,2,0,0,0,
13,8,0,8,0,8,1,0,2,
13,8,0,8,1,8,0,1,2,
13,8,0,8,0,8,0,0,2,
13,2,0,2,0,2,0,0,0,
13,12,0,12,0,12,0,1,4,
13,4,0,4,0,4,0,0,2,
13,27,0,27,0,27,0,0,3,
13,12,0,12,0,12,0,0,0,
