n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
15,2,0,2,0,2,0,0,0
15,1,0,1,0,1,0,0,1
15,18,0,18,1,18,0,0,4
15,1,0,1,0,1,0,0,0
15,2,0,2,1,2,0,0,0
15,3,0,3,1,3,0,2,1
15,4,0,4,0,4,0,0,1
15,1,0,1,0,1,1,0,0
15,2,0,2,0,2,0,0,1
15,1,0,1,1,1,0,0,0
15,8,0,8,0,8,0,0,0
15,4,0,4,0,4,0,0,2
15,6,0,6,0,6,0,0,0
15,4,0,4,0,4,0,0,1
15,2,0,2,0,2,0,0,2
15,1,1,1,1,1,1,1,1
15,2,0,2,0,2,0,0,1
15,4,0,4,0,4,0,0,2
15,8,0,8,0,8,0,0,4
15,2,2,2,0,2,2,0,2
15,8,0,8,0,8,0,0,0
15,1,0,1,0,1,0,0,0
15,1,0,1,0,1,0,0,1
15,2,0,2,1,2,0,1,2
15,4,0,4,0,4,0,0,0
15,8,0,8,0,8,0,0,2
15,4,0,4,0,4,0,0,0
15,2,0,2,1,2,0,0,1
15,4,0,4,0,4,0,0,1
15,8,0,8,0,8,0,0,2
15,6,0,6,0,6,0,0,0
15,2,0,2,0,2,0,0,0
15,1,0,1,0,1,0,0,1
15,1,0,1,0,1,1,0,0
15,1,0,1,0,1,0,0,1
15,2,0,2,0,2,0,0,0
15,4,0,4,0,4,0,0,0
15,1,0,1,0,1,0,0,1
15,1,0,1,0,1,0,0,1
15,2,0,2,1,2,0,1,2
15,4,0,4,1,4,0,1,2
15,1,0,1,0,1,0,0,1
15,2,0,2,0,2,0,0,0
15,8,1,8,0,8,1,0,4
15,2,0,2,0,2,0,0,0
15,1,0,1,0,1,0,1,0
15,1,0,1,1,1,0,0,1
15,2,0,2,0,2,0,0,0
15,4,0,4,1,4,0,0,1
15,2,0,2,1,2,0,0,0
