n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
14,6,0,6,0,6,0,0,0,
14,24,0,24,0,24,0,0,0,
14,30,0,30,0,30,0,0,0,
14,8,0,8,0,8,0,0,0,
14,30,0,30,1,30,0,0,0,
14,12,0,12,0,12,0,0,0,
14,48,0,48,0,48,0,0,0,
14,12,0,12,0,12,0,0,0,
14,6,0,6,0,6,0,0,0,
14,8,0,8,0,8,0,0,0,
14,12,0,12,0,12,0,0,0,
14,30,0,30,0,30,0,0,0,
14,1,0,1,0,1,0,0,0,
14,20,0,20,0,20,0,0,0,
14,45,0,45,0,45,0,0,0,
14,108,0,108,0,108,0,0,2,
14,18,0,18,0,18,0,0,1,
14,12,0,12,0,12,0,0,0,
14,2,0,2,0,2,0,0,0,
14,9,0,9,0,9,0,0,0,
14,16,0,16,0,16,0,0,0,
14,2,0,2,0,2,0,0,0,
14,180,0,180,0,180,0,0,0,
14,12,0,12,0,12,0,0,0,
14,4,0,4,0,4,0,0,0,
14,12,0,12,0,12,0,0,2,
14,16,0,16,0,16,0,0,0,
14,24,0,24,0,24,0,1,1,
14,18,0,18,0,18,0,0,0,
14,108,0,108,0,108,0,1,1,
14,36,0,36,0,36,0,0,0,
14,4,0,4,0,4,0,0,0,
14,4,0,4,0,4,0,0,0,
14,4,0,4,1,4,0,0,0,
14,2,0,2,0,2,0,0,0,
14,4,0,4,0,4,0,0,0,
14,6,0,6,0,6,0,0,0,
14,9,0,9,1,9,0,1,1,
14,8,0,8,0,8,0,0,0,
14,6,0,6,0,6,0,0,0,
14,9,0,9,0,9,0,0,0,
14,8,0,8,0,8,0,0,0,
14,2,0,2,0,2,0,0,0,
14,2,0,2,0,2,0,0,0,
14,6,0,6,0,6,0,0,0,
14,40,0,40,0,40,0,0,0,
14,8,0,8,0,8,0,0,0,
14,42,0,42,0,42,0,0,0,
14,4,0,4,0,4,0,0,0,
14,3,0,3,1,3,0,1,2,
