n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
11,12,0,12,1,12,0,0,0,
11,32,0,32,0,32,0,0,0,
11,2,0,2,0,2,0,0,0,
11,24,0,24,0,24,0,0,0,
11,32,0,32,0,32,1,0,0,
11,12,0,12,0,12,0,0,0,
11,8,0,8,1,8,1,0,0,
11,24,0,24,0,24,0,0,0,
11,36,0,36,0,36,1,0,1,
11,4,0,4,0,4,0,0,1,
11,2,0,2,0,2,0,0,0,
11,3,0,3,0,3,0,0,0,
11,3,0,3,0,3,0,0,0,
11,6,0,6,0,6,0,0,0,
11,6,0,6,0,6,0,0,0,
11,63,0,63,0,63,0,0,0,
11,10,0,10,0,10,0,0,0,
11,9,0,9,0,9,0,0,0,
11,12,0,12,0,12,0,0,0,
11,9,0,9,0,9,0,0,0,
11,48,0,48,0,48,0,0,1,
11,6,0,6,0,6,0,0,0,
11,6,0,6,0,6,0,0,0,
11,6,0,6,0,6,1,0,0,
11,20,0,20,0,20,1,0,0,
11,12,0,12,1,12,1,0,0,
11,6,0,6,0,6,0,0,0,
11,8,0,8,0,8,1,0,0,
11,3,0,3,0,3,0,0,0,
11,20,0,20,0,20,0,0,1,
11,3,0,3,1,3,0,0,0,
11,8,0,8,0,8,0,0,1,
11,8,0,8,0,8,0,0,0,
11,12,0,12,0,12,0,0,0,
11,3,0,3,1,3,0,0,0,
11,50,0,50,0,50,0,0,1,
11,10,0,10,0,10,0,0,0,
11,6,0,6,0,6,0,0,0,
11,4,0,4,0,4,0,1,0,
11,28,0,28,0,28,0,0,1,
11,6,0,6,0,6,0,0,0,
11,2,0,2,0,2,0,0,0,
11,6,0,6,0,6,0,0,0,
11,4,0,4,0,4,0,0,0,
11,1,0,1,0,1,1,0,0,
11,12,0,12,0,12,0,0,0,
11,4,0,4,0,4,0,1,1,
11,18,0,18,0,18,0,0,0,
11,56,0,56,0,56,0,0,1,
11,5,0,5,0,5,0,0,0,
