n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
11,81,0,81,0,81,0,0,1,
11,6,0,6,0,6,0,0,0,
11,2,0,2,0,2,0,0,0,
11,12,0,12,0,12,0,0,1,
11,16,0,16,0,16,0,0,0,
11,12,0,12,0,12,0,0,0,
11,9,0,9,0,9,0,0,1,
11,2,0,2,0,2,0,0,1,
11,8,0,8,1,8,0,0,0,
11,33,0,33,0,33,0,0,0,
11,168,0,168,1,168,0,1,1,
11,27,0,27,0,27,1,0,0,
11,18,0,18,0,18,0,0,0,
11,2,0,2,1,2,0,1,1,
11,2,0,2,0,2,0,0,0,
11,6,0,6,0,6,0,0,1,
11,60,0,60,0,60,0,0,1,
11,24,0,24,0,24,0,1,2,
11,18,0,18,0,18,0,0,0,
11,3,0,3,0,3,0,0,0,
11,66,0,66,1,66,0,0,0,
11,4,0,4,0,4,0,0,0,
11,6,0,6,0,6,0,0,0,
11,6,0,6,1,6,0,1,1,
11,6,0,6,0,6,0,0,0,
11,3,0,3,0,3,0,0,0,
11,4,0,4,0,4,1,1,1,
11,4,0,4,0,4,0,0,0,
11,6,0,6,0,6,0,0,1,
11,6,0,6,0,6,0,1,0,
11,18,0,18,0,18,1,0,0,
11,10,0,10,0,10,0,0,0,
11,2,0,2,0,2,0,0,0,
11,4,0,4,0,4,0,0,0,
11,1,0,1,1,1,0,0,0,
11,12,0,12,0,12,0,0,0,
11,14,0,14,0,14,0,0,1,
11,12,0,12,0,12,0,0,0,
11,8,0,8,0,8,0,0,0,
11,4,0,4,0,4,0,0,0,
11,6,0,6,0,6,0,0,0,
11,8,0,8,0,8,0,0,0,
11,8,0,8,0,8,0,0,0,
11,1,0,1,1,1,0,0,0,
11,4,0,4,0,4,0,0,0,
11,8,0,8,1,8,0,0,0,
11,12,0,12,0,12,0,0,2,
11,10,0,10,0,10,0,0,0,
11,42,0,42,0,42,0,0,2,
11,4,0,4,0,4,0,1,1,
