n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
13,6,0,6,0,6,0,0,1,
13,12,0,12,0,12,0,0,0,
13,6,0,6,0,6,0,0,0,
13,48,0,48,0,48,0,0,0,
13,48,0,48,0,48,0,0,0,
13,24,0,24,0,24,0,0,0,
13,4,0,4,0,4,0,0,0,
13,14,0,14,0,14,0,0,0,
13,12,0,12,0,12,0,0,0,
13,48,0,48,0,48,0,0,0,
13,3,0,3,0,3,0,0,0,
13,81,0,81,0,81,0,0,0,
13,6,0,6,1,6,0,0,1,
13,12,0,12,0,12,0,0,0,
13,18,0,18,0,18,0,0,0,
13,16,0,16,0,16,0,0,0,
13,2,0,2,0,2,0,0,0,
13,18,0,18,0,18,0,1,0,
13,30,0,30,0,30,0,0,0,
13,3,0,3,0,3,0,0,0,
13,2,0,2,0,2,0,0,0,
13,3,0,3,0,3,0,0,0,
13,8,0,8,0,8,0,0,0,
13,4,0,4,0,4,0,0,0,
13,10,0,10,0,10,0,0,0,
13,10,0,10,0,10,0,0,0,
13,54,0,54,0,54,0,0,0,
13,5,0,5,0,5,0,0,0,
13,16,0,16,0,16,0,0,0,
13,1,0,1,0,1,0,0,1,
13,50,0,50,0,50,0,0,0,
13,6,0,6,0,6,0,0,0,
13,27,0,27,0,27,0,0,1,
13,20,0,20,0,20,0,0,0,
13,6,0,6,0,6,0,0,0,
13,4,0,4,0,4,0,0,0,
13,9,0,9,0,9,0,0,0,
13,6,0,6,0,6,0,0,0,
13,2,0,2,0,2,0,0,1,
13,36,0,36,0,36,1,0,0,
13,2,0,2,0,2,0,0,0,
13,6,0,6,0,6,0,0,0,
13,6,0,6,0,6,0,0,0,
13,2,0,2,0,2,0,1,0,
13,4,0,4,0,4,0,0,0,
13,144,0,144,0,144,0,0,0,
13,48,0,48,0,48,0,0,0,
13,4,0,4,0,4,0,0,0,
13,4,0,4,0,4,0,0,0,
13,1,0,1,0,1,0,0,0,
