n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
12,48,0,48,0,48,0,0,24,
12,12,0,12,1,12,0,0,12,
12,3,0,3,0,3,0,0,1,
12,8,0,8,0,8,0,0,1,
12,4,0,4,0,4,0,1,0,
12,6,0,6,0,6,0,0,0,
12,15,0,15,0,15,0,0,0,
12,12,0,12,0,12,0,0,2,
12,3,0,3,0,3,0,0,3,
12,1,0,1,0,1,0,0,0,
12,8,0,8,0,8,0,0,3,
12,24,0,24,0,24,1,0,6,
12,1,0,1,2,1,1,0,0,
12,48,0,48,1,48,0,0,2,
12,2,0,2,0,2,0,0,0,
12,10,0,10,0,10,0,0,0,
12,12,0,12,0,12,0,0,0,
12,1,0,1,1,1,0,1,1,
12,4,0,4,0,4,0,0,0,
12,8,0,8,0,8,0,0,2,
12,4,0,4,0,4,0,0,4,
12,8,0,8,0,8,0,0,4,
12,4,0,4,1,4,0,0,1,
12,24,0,24,0,24,0,0,2,
12,4,0,4,0,4,1,0,0,
12,1,0,1,0,1,0,0,1,
12,1,0,1,0,1,1,0,0,
12,4,0,4,0,4,0,1,1,
12,8,0,8,0,8,0,0,0,
12,3,0,3,0,3,0,0,2,
12,4,0,4,0,4,0,0,1,
12,2,0,2,0,2,0,0,0,
12,2,0,2,0,2,0,0,1,
12,4,0,4,1,4,0,0,0,
12,2,0,2,0,2,0,0,0,
12,1,1,1,1,1,1,0,1,
12,6,0,6,1,6,0,0,1,
12,21,0,21,1,21,0,0,16,
12,8,0,8,0,8,0,1,2,
12,2,0,2,1,2,0,1,2,
12,6,0,6,2,6,0,2,4,
12,12,0,12,0,12,0,0,1,
12,12,0,12,0,12,0,0,4,
12,3,0,3,0,3,0,0,1,
12,3,0,3,0,3,0,0,2,
12,4,0,4,1,4,0,0,2,
12,8,0,8,0,8,0,0,0,
12,2,0,2,1,2,0,1,2,
12,10,0,10,0,10,0,0,6,
12,6,0,6,0,6,0,0,0,
